compound_id	BIOCHEMICAL	PLATFORM	CHEMICAL ID	RI	MASS	PUBCHEM	CAS	KEGG
CPD000272	arachidonate (20:4n6)	LC/MS Neg	229	5535	303.233	444899	506-32-1	C00219
CPD000273	arachidonoylcarnitine (C20:4)	LC/MS Pos Late	100015837	1353	448.3422			
CPD000274	arachidonoylcholine	LC/MS Pos Late	100009332	1390	390.3367			
CPD000275	arachidoylcarnitine (C20)*	LC/MS Pos Late	100015833	1512	456.4047			
CPD000276	argininate*	LC/MS Pos Early	100002769	2150	176.103	160437	157-07-3	
CPD000277	arginine	LC/MS Pos Early	231	2825	175.119	232	1119-34-2	C00062
CPD000278	ascorbic acid 2-sulfate	LC/MS Polar	100009329	3042	254.9816	86484		
CPD000279	ascorbic acid 3-sulfate*	LC/MS Polar	100020409	2025	254.9815	11425365		
CPD000280	asparagine	LC/MS Pos Early	917	1225	133.0608	6267	70-47-3	C00152
CPD000281	aspartate	LC/MS Pos Early	234	1165	134.0448	5960	56-84-8	C00049
CPD000282	atazanavir	LC/MS Pos Late	100020926	1020	705.397	148192	198904-31-3	D07471
CPD000283	azelate (C9-DC)	LC/MS Neg	2029	1276	187.0976	2266	123-99-9	C08261
CPD000284	behenoylcarnitine (C22)*	LC/MS Pos Late	100015832	1561	484.436			
CPD000285	benzoate	LC/MS Neg	100000008	1750	121.0295	243	65-85-0	C00180
CPD000286	benzoylcarnitine*	LC/MS Pos Early	100004555	3041	266.1387		105450-08-6	
CPD000287	beta-alanine	LC/MS Pos Early	244	1905	90.055	239	56-41-7;107-95-9	C00099
CPD000288	beta-citrylglutamate	LC/MS Neg	100003271	530	320.0623	72715786	73590-26-8	C20775
CPD000289	beta-cryptoxanthin	LC/MS Pos Late	100001977	2560	552.4326	6384256	472-70-8	
CPD000290	beta-hydroxyisovalerate	LC/MS Neg	1442	1027	117.0557	69362	625-08-1	
CPD000291	beta-hydroxyisovaleroylcarnitine	LC/MS Pos Early	100001594	2584	262.1649		99159-87-2	
CPD000292	beta-sitosterol	LC/MS Pos Late	100001033	3054	397.3829	222284	83-46-5	C01753
CPD000293	betaine	LC/MS Pos Early	799	1064	118.0863	247	107-43-7	C00719
CPD000294	bilirubin (E,E)*	LC/MS Pos Late	100001950	1045	585.2708	5315454		
CPD000295	bilirubin (E,Z or Z,E)*	LC/MS Pos Late	100001951	1265	585.2708	5799469		
CPD000296	bilirubin	LC/MS Pos Late	1090	1840	585.2708	5280352	635-65-4	C00486
CPD000297	biliverdin	LC/MS Pos Late	250	1016	583.2551	5353439	55482-27-4;55482-27-4	C00500
CPD000298	branched chain 14:0 dicarboxylic acid	LC/MS Neg	100021374	3849	257.1758			
CPD000299	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	LC/MS Neg	100021666	4805	169.1234			
CPD000300	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*	LC/MS Neg	100021667	4853	169.1234			
CPD000301	branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*	LC/MS Neg	100021709	5261	197.1546			
CPD000302	butyrate/isobutyrate (4:0)	LC/MS Neg	1143	1062	87.0452	264	109-92-6	C00246
CPD000303	butyrylcarnitine (C4)	LC/MS Pos Early	100001054	2860	232.1543	439829	25576-40-3	C02862
CPD000304	butyrylglycine (C4)	LC/MS Neg	100001151	1470	144.0666	88412	20208-73-5	
CPD000305	C-glycosyltryptophan	LC/MS Neg	100006379	1777	365.1354	10981970	180509-18-6	
CPD000306	caffeic acid sulfate	LC/MS Polar	100009337	1307	258.9918			
CPD000307	caffeine	LC/MS Pos Early	849	2106	195.0877	2519	58-08-2	C07481
CPD000308	campesterol	LC/MS Pos Late	100001269	2873	383.3672	173183	474-62-4	C01789
CPD000309	caprate (10:0)	LC/MS Neg	888	5090.7	171.1391	2969	334-48-5	C01571
CPD000310	caproate (6:0)	LC/MS Neg	926	2713.7	115.0765	8892	142-62-1	C01585
CPD000311	caprylate (8:0)	LC/MS Neg	932	4362	143.1078	379	124-07-2	C06423
CPD000312	carboxyethyl-GABA	LC/MS Pos Early	100003260	2085	176.0917	2572	3/2/4386	
CPD000313	carboxyibuprofen	LC/MS Neg	100004171	1920	235.0976	10444113	15935-54-3	
CPD000314	carboxyibuprofen glucuronide*	LC/MS Polar	100020212	2294	411.1297			
CPD000315	carnitine	LC/MS Pos Early	100000007	1978	162.1125	10917	461-05-2	C00318
CPD000316	carotene diol (1)	LC/MS Pos Late	100015966	1720	568.4276			
CPD000317	carotene diol (2)	LC/MS Pos Late	100015967	1904	568.4279			
CPD000318	carotene diol (3)	LC/MS Pos Late	100015968	1948	568.4279			
CPD000319	catechol glucuronide	LC/MS Neg	100009326	1742	285.0616	75124209		
CPD000320	catechol sulfate	LC/MS Neg	100001605	1906	188.9863	3083879	4918-96-1	
CPD000321	cerotoylcarnitine (C26)*	LC/MS Pos Late	100015835	1649	540.4986			
CPD000322	cetirizine	LC/MS Pos Late	100009034	1052	389.1627	2678	83881-51-0	C07778
CPD000323	chenodeoxycholate	LC/MS Neg	1123	5264	391.2854	10133	474-24-9;474-25-9	C02528
CPD000324	chiro-inositol	LC/MS Polar	100001859	3191.2	225.0616		643-12-9	C19891
CPD000325	cholate	LC/MS Neg	136	5165	407.2803	221493	81-25-4	C00695
CPD000326	cholesterol	LC/MS Pos Late	266	2707	369.3516	11025495	57-88-5	C00187
CPD000327	choline	LC/MS Pos Early	1256	1961	104.107	305	67-48-1	C00114
CPD000328	phosphocholine	LC/MS Pos Early	267	700	184.0733	1014	72556-74-2	C00588
CPD000329	cinnamoylglycine	LC/MS Neg	100002253	3127	204.0666	709625	16534-24-0	
CPD000330	cis-4-decenoate (10:1n6)*	LC/MS Neg	100002796	4890	169.1234	5312351	505-90-8	
CPD000331	cis-4-decenoylcarnitine (C10:1)	LC/MS Pos Late	100002259	1057	314.2326		98930-66-6	
CPD000332	citalopram N-oxide*	LC/MS Pos Late	100020792	905	341.166	10068142		C16607
CPD000333	citalopram propionate*	LC/MS Neg	100020793	4400	310.0885	10403174		C16610
CPD000334	citalopram/escitalopram	LC/MS Pos Late	100003444	908	325.1711	146570	219861-08-2	D07913
CPD000335	citraconate/glutaconate	LC/MS Polar	100006438	2600	129.0194			
CPD000336	citramalate	LC/MS Pos Early	100000998	1224	166.071	1081	10/8/6236	C00815
CPD000337	citrate	LC/MS Neg	1124	582	191.0197	311	77-92-9	C00158
CPD000338	citrulline	LC/MS Pos Early	391	1520	176.103	9750	372-75-8	C00327
CPD000339	cobicistat	LC/MS Pos Late	100020937	1092	776.3622		1004316-88-4	D09881
CPD000340	cortisol	LC/MS Neg	356	4710	361.202	5754	50-23-7	C00735
CPD000341	cortisone	LC/MS Neg	273	4575	359.1864	222786	53-06-5	C00762
CPD000342	cortolone glucuronide (1)	LC/MS Neg	100015971	4600	541.2654			
CPD000343	cotinine	LC/MS Pos Early	848	2213	177.1022	854019	486-56-6	
CPD000344	cotinine N-oxide	LC/MS Pos Early	100002719	1377	193.0972	9815514	36508-80-2	
CPD000345	creatine	LC/MS Pos Early	1221	1947	132.0768	586	57-00-1	C00300
CPD000346	creatinine	LC/MS Pos Early	275	2055	114.0662	588	60-27-5	C00791
CPD000347	cys-gly, oxidized	LC/MS Pos Early	1224	2947	355.0741	333293	7729-20-6	
CPD000348	cystathionine	LC/MS Pos Early	310	2270	223.0747	439258	535-34-2	C02291
CPD000349	cysteine	LC/MS Pos Early	800	1475	122.027	5862	52-90-4;56-89-3	C00097
CPD000350	cysteine s-sulfate	LC/MS Pos Early	100000808	565	201.9838	115015	1637-71-4	C05824
CPD000351	cysteine sulfinic acid	LC/MS Pos Early	100002113	597	154.0169	109	207121-48-0	C00606
CPD000352	cysteine-glutathione disulfide	LC/MS Pos Early	100001437	2465	427.0952	4247235	13081-14-6	
CPD000353	cysteinylglycine	LC/MS Pos Early	278	2132	179.0485	439498	19246-18-5	C01419
CPD000354	cysteinylglycine disulfide*	LC/MS Pos Early	100002466	2547	298.0526		70555-24-7	
CPD000355	cystine	LC/MS Pos Early	279	2000	241.0311	67678	56-89-3	C00491
CPD000356	cytidine	LC/MS Pos Early	827	2124	244.0928	6175	65-46-3	C00475
CPD000357	cytosine	LC/MS Pos Early	881	2060	112.0505	597	71-30-7	C00380
CPD000358	darunavir	LC/MS Pos Late	100020927	981	548.2425	213039	206361-99-1	D03656
CPD000359	decadienedioic acid (C10:2-DC)	LC/MS Polar	100021711	2329.7	197.0819			
CPD000360	decanoylcarnitine (C10)	LC/MS Pos Late	100001251	1130	316.2482	10245190	1492-27-9	
CPD000361	dehydroepiandrosterone sulfate (DHEA-S)	LC/MS Neg	100000792	4745	367.1585	12594	651-48-9	C04555
CPD000362	deoxycarnitine	LC/MS Pos Early	100001662	2052	146.1176	134	6249-56-5	C01181
CPD000363	deoxycholate	LC/MS Neg	302	5294	391.2854	222528	83-44-3	C04483
CPD000364	deoxycholic acid 12-sulfate*	LC/MS Neg	100021712	4580	235.1175			
CPD000365	deoxycholic acid glucuronide	LC/MS Neg	100020550	4800	567.3175			
CPD000366	desmethylcitalopram*	LC/MS Pos Late	100020790	880	311.1554	162180		C16608
CPD000367	didesmethylcitalopram*	LC/MS Pos Late	100020791	876	297.1398			
CPD000368	dihomolinoleate (20:2n6)	LC/MS Neg	1231	5730	307.2643	6439848	2091-39-6	C16525
CPD000369	dihomolinolenate (20:3n3 or 3n6)	LC/MS Neg	100001739	5596	305.2486	5280581	17046-59-2	C03242
CPD000370	dihomo-linolenoyl-choline	LC/MS Pos Late	100009335	1424	392.3523			
CPD000371	dihomo-linolenoylcarnitine (C20:3n3 or 6)*	LC/MS Pos Late	100015840	1392	450.3578			
CPD000372	dihomo-linoleoylcarnitine (C20:2)*	LC/MS Pos Late	100015839	1436	452.3734			
CPD000373	dihydrocaffeate sulfate (2)	LC/MS Neg	100020822	930	261.0074			
CPD000374	dihydroferulate	LC/MS Neg	100003432	1928	195.0663	14340	1135-23-5	
CPD000375	dihydroferulic acid sulfate	LC/MS Neg	100020272	1310	275.0231	187489		
CPD000376	dihydroorotate	LC/MS Polar	923	1910	157.0255	648	155-54-4	C00337
CPD000377	dimethyl sulfone	LC/MS Pos Early	100004284	832	95.0161	6213	67-71-0	C11142
CPD000378	dimethylarginine (ADMA + SDMA)	LC/MS Pos Early	100001810	2850	203.1503	123831	102783-24-4	C03626
CPD000379	dimethylglycine	LC/MS Pos Early	806	1104	104.0706	673	1118-68-9	C01026
CPD000380	diphenhydramine	LC/MS Pos Late	100002732	911	256.1696	3100	147-24-0	C06960
CPD000381	docosadienoate (22:2n6)	LC/MS Neg	100001182	6034	335.2956	5282807	7370-49-2	C16533
CPD000382	docosadioate (C22-DC)	LC/MS Neg	100002952	5291.8	369.301	244872	505-56-6	C19625
CPD000383	docosahexaenoate (DHA; 22:6n3)	LC/MS Neg	100000665	5525	327.233	445580	6217-54-5	C06429
CPD000384	docosahexaenoylcarnitine (C22:6)*	LC/MS Pos Late	100015845	1349	472.3422			
CPD000385	docosahexaenoylcholine	LC/MS Pos Late	100009333	1378	414.3367			
CPD000386	docosapentaenoate (DPA; 22:5n3)	LC/MS Neg	100001181	5571	329.2486	6441454	2234-74-4	C16513
CPD000387	docosapentaenoate (n6 DPA; 22:5n6)	LC/MS Neg	100001580	5624.5	329.2486	6441454	25182-74-5	C16513
CPD000388	docosapentaenoylcarnitine (C22:5n3)*	LC/MS Pos Late	100015851	1387	474.3578			
CPD000389	docosatrienoate (22:3n3)	LC/MS Neg	100001195	5823	333.2799	5312556	59708-86-0	C16534
CPD000390	docosatrienoate (22:3n6)*	LC/MS Neg	100015762	5850	333.2799			
CPD000391	dodecadienoate (12:2)*	LC/MS Neg	100020478	5146	195.1391			
CPD000392	dodecanedioate (C12)	LC/MS Neg	100001102	2990	229.1445	12736	693-23-2	C02678
CPD000393	dodecenedioate (C12:1-DC)*	LC/MS Neg	100019972	2700	227.1289			
CPD000394	dolutegravir	LC/MS Pos Late	100020934	911	420.1366	54726191	1051375-19-9	D10066
CPD000395	dopamine 3-O-sulfate	LC/MS Neg	100006361	1556.2	232.0285	122136		C13690
CPD000396	dopamine 4-sulfate	LC/MS Neg	100006360	1511	232.0285	123932		C13691
CPD000397	doxycycline	LC/MS Pos Late	100003009	829	445.1606		24390-14-5	
CPD000398	ectoine	LC/MS Pos Early	100001635	1980	143.0815	126041	96702-03-3	C06231
CPD000399	EDTA	LC/MS Neg	100001002	643	291.0834	6049	60-00-4	C00284
CPD000400	efavirenz	LC/MS Neg	100020922	5350	314.0201	64139	154598-52-4	D00896
CPD000401	eicosanedioate (C20-DC)	LC/MS Neg	100002951	5200.9	341.2697	75502	2424-92-2	
CPD000402	eicosapentaenoate (EPA; 20:5n3)	LC/MS Neg	2050	5450	301.2173	446284	10-2005-9;10417-94-4	C06428
CPD000403	eicosapentaenoylcholine	LC/MS Pos Late	100009336	1343	388.321			
CPD000404	eicosenoate (20:1n9 or 1n11)	LC/MS Neg	100001335	5950	309.2799	5282768		C16526
CPD000405	eicosenoylcarnitine (C20:1)*	LC/MS Pos Late	100015838	1484	454.3891			
CPD000406	elvitegravir	LC/MS Pos Late	100020935	1288	448.1322	5277135	697761-98-1	D06677
CPD000407	emtricitabine	LC/MS Pos Early	100020917	2084	248.05	60877	143491-57-0	D01199
CPD000408	epiandrosterone sulfate	LC/MS Neg	100001287	4855	369.1741	9929317	22229-22-7	
CPD000409	ergothioneine	LC/MS Pos Early	100002154	850	230.0958	3032311	58511-63-0	C05570
CPD000410	erucate (22:1n9)	LC/MS Neg	1087	6355.6	337.3112	5281116	112-86-7	C08316
CPD000411	erucoylcarnitine (C22:1)*	LC/MS Pos Late	100015841	1535	482.4204			
CPD000412	erythritol	LC/MS Polar	100000846	1491	167.0561	222285	149-32-6	C00503
CPD000413	erythronate*	LC/MS Polar	100001320	2186	135.0299	2781043	88759-55-1	
CPD000414	ethyl alpha-glucopyranoside	LC/MS Pos Early	100015965	1248	226.1285	428040	34625-23-5	
CPD000415	ethyl beta-glucopyranoside	LC/MS Neg	100020377	1519	207.0874	121667		
CPD000416	ethyl glucuronide	LC/MS Pos Early	100002849	1181	240.1078	152226	17685-04-0	
CPD000417	ethylmalonate	LC/MS Polar	2054	2785	131.035	11756	601-75-2	
CPD000418	etiocholanolone glucuronide	LC/MS Neg	100005403	4915	465.2494	270605	9/3/3602	
CPD000419	eugenol sulfate	LC/MS Neg	100006171	3782	243.0333	180632	95480-60-7	
CPD000420	ferulic acid 4-sulfate	LC/MS Neg	100005389	1200	273.0074	6305574	86321-29-1	
CPD000421	fexofenadine	LC/MS Pos Late	100004018	944	502.2952	3348	83799-24-0	C06999
CPD000422	formiminoglutamate	LC/MS Pos Early	100002500	1880	175.0713	439233	816-90-0	C00439
CPD000423	fructose	LC/MS Polar	878	2065	225.0616	5984	57-48-7	C00095
CPD000424	fructosyllysine	LC/MS Pos Early	100005373	2784	309.1656	123708	21291-40-7	
CPD000425	fumarate	LC/MS Polar	330	3084	115.0037	444972	100-17-8	C00122
CPD000426	furosemide	LC/MS Neg	100004241	3515	329.0004	3440	54-31-9	D00331
CPD000427	gabapentin	LC/MS Pos Early	100002806	3123	172.1332	3446	60142-96-3	D00332
CPD000428	galactonate	LC/MS Polar	100001026	3085	195.051	128869	299-28-5	C00880
CPD000429	gamma-CEHC	LC/MS Neg	100002094	3843	263.1289	133098	178167-75-4	
CPD000430	gamma-glutamyl-2-aminobutyrate	LC/MS Pos Early	100001502	2380	233.1132		16869-42-4	
CPD000431	gamma-glutamyl-alpha-lysine	LC/MS Pos Early	100010901	2784	276.1554	65254		
CPD000432	gamma-glutamyl-epsilon-lysine	LC/MS Pos Early	100001262	2725	276.1554	7015685	17105-15-6	
CPD000433	gamma-glutamylcitrulline*	LC/MS Pos Early	100020241	1644	305.1456			
CPD000434	gamma-glutamylglutamate	LC/MS Pos Early	331	1775	277.103	92865	1116-22-9	C05282
CPD000435	gamma-glutamylglutamine	LC/MS Pos Early	1140	1430	276.119	150914	10148-81-9	C05283
CPD000436	gamma-glutamylglycine	LC/MS Pos Early	100001294	1535	205.0819	165527	1948-29-4	
CPD000437	gamma-glutamylhistidine	LC/MS Pos Early	1235	2740	285.1194	7017195	37460-15-4	
CPD000438	gamma-glutamylisoleucine*	LC/MS Pos Early	100001485	2940	261.1445	14253342		
CPD000439	gamma-glutamylleucine	LC/MS Pos Early	1268	2991	261.1445	151023	2566-39-4	
CPD000440	gamma-glutamylmethionine	LC/MS Pos Early	100001313	2640	279.1009	7009567	17663-87-5	
CPD000441	gamma-glutamylphenylalanine	LC/MS Pos Early	100000491	2992	295.1289	111299	7432-24-8	
CPD000442	gamma-glutamylthreonine	LC/MS Pos Early	100001314	1750	249.1081	76078708	5652-48-2	
CPD000443	gamma-glutamyltryptophan	LC/MS Neg	100001295	1960	332.1252	3989307	66471-20-3	
CPD000444	gamma-glutamyltyrosine	LC/MS Pos Early	1102	2518	311.1238	94340	7432-23-7	
CPD000445	gamma-glutamylvaline	LC/MS Pos Early	100001126	2700	247.1289	7015683	2746-34-1	
CPD000446	gamma-tocopherol/beta-tocopherol	LC/MS Pos Late	100008998	2384	416.3643			
CPD000447	genistein sulfate*	LC/MS Neg	100020207	3616	349.0024			
CPD000448	gentisate	LC/MS Polar	100000447	905	153.0193	3469	490-79-9	C00628
CPD000449	GlcNAc sulfate conjugate of C21H34O2 steroid	LC/MS Neg	100021726	4336.7	299.6386			
CPD000450	gluconate	LC/MS Polar	338	2922	195.051	10690	527-07-1	C00257
CPD000451	glucose	LC/MS Polar	572	2342	225.0616	5793	50-99-7	C00031
CPD000452	glucuronate	LC/MS Polar	100000257	3233.3	193.0354	444791	207300-70-7	C00191
CPD000453	glucuronide of C10H18O2 (1)*	LC/MS Neg	100019990	2728	345.1555			
CPD000454	glucuronide of C10H18O2 (7)*	LC/MS Neg	100020014	3790	345.1555			
CPD000455	glucuronide of C10H18O2 (8)*	LC/MS Neg	100020015	3865	345.1555			
CPD000456	glucuronide of C12H22O4 (1)*	LC/MS Neg	100019984	2590	405.1766			
CPD000457	glucuronide of C12H22O4 (2)*	LC/MS Neg	100019985	2700	405.1766			
CPD000458	glucuronide of C14H26O4 (1)*	LC/MS Neg	100019986	3200	433.2079			
CPD000459	glucuronide of piperine metabolite C17H21NO3 (3)*	LC/MS Neg	100020491	3951	462.177			
CPD000460	glucuronide of piperine metabolite C17H21NO3 (4)*	LC/MS Neg	100020492	3992	462.177			
CPD000461	glucuronide of piperine metabolite C17H21NO3 (5)*	LC/MS Neg	100020493	4039	462.177			
CPD000462	glutamate	LC/MS Pos Early	561	1500	148.0604	611	56-86-0	C00025
CPD000463	glutamate, gamma-methyl ester	LC/MS Pos Early	100001103	2170	162.0761	68662	1499-55-4;1499-55-4	
CPD000464	glutamine	LC/MS Pos Early	563	1291	147.0764	5961	56-85-9	C00064
CPD000465	glutamine conjugate of C6H10O2 (1)*	LC/MS Neg	100020261	2404	241.1194			
CPD000466	glutamine conjugate of C6H10O2 (2)*	LC/MS Neg	100020262	2526	241.1194			
CPD000467	glutamine conjugate of C7H12O2*	LC/MS Neg	100020259	3053	255.135			
CPD000468	glutarate (C5-DC)	LC/MS Polar	339	2900	131.035	743	110-94-1	C00489
CPD000469	glutarylcarnitine (C5-DC)	LC/MS Pos Early	100001593	2393	276.1442	71464488	102636-82-8	
CPD000470	glycerate	LC/MS Polar	1052	2070.4	105.0193	752	600-19-1	C00258
CPD000471	glycerol	LC/MS Neg	1254	758	91.0401	753	56-81-5	C00116
CPD000472	glycerol 3-phosphate	LC/MS Pos Early	100000258	580	173.021	754	29849-82-9	C00093
CPD000473	glycerophosphoethanolamine	LC/MS Pos Early	100001620	659	216.0632	123874	33049-08-0	C01233
CPD000474	glycerophosphorylcholine (GPC)	LC/MS Pos Early	100000269	672	258.1101	71920	28319-77-9	C00670
CPD000475	glycine	LC/MS Pos Early	340	1375	76.0393	750	56-40-6	C00037
CPD000476	glycine conjugate of C10H12O2*	LC/MS Neg	100020253	4005	220.0979			
CPD000477	glycine conjugate of C10H14O2 (1)*	LC/MS Neg	100020254	4335	222.1136			
CPD000478	glyco-beta-muricholate	LC/MS Neg	100020214	4762	464.3018			
CPD000479	glycochenodeoxycholate	LC/MS Neg	1628	5236.1	448.3068	12544	16564-43-5	C05466
CPD000480	glycochenodeoxycholate 3-sulfate	LC/MS Neg	100006641	4820	263.6282			
CPD000481	glycochenodeoxycholate glucuronide (1)	LC/MS Neg	100009264	4806	311.6658			
CPD000482	glycocholate	LC/MS Neg	342	5163	464.3018	10140	475-31-0;863-57-0	C01921
CPD000483	glycocholenate sulfate*	LC/MS Neg	100001989	4750	254.6229			
CPD000484	glycodeoxycholate	LC/MS Neg	100000436	5281	448.3068	3035026	360-65-6	C05464
CPD000485	glycodeoxycholate 3-sulfate	LC/MS Neg	100006642	4875	263.6282			
CPD000486	glycohyocholate	LC/MS Neg	100004083	5020	464.3018			
CPD000487	glycolithocholate	LC/MS Neg	100001064	5357.1	432.3119	115245	474-74-8	C15557
CPD000488	glycolithocholate sulfate*	LC/MS Neg	100001657	5011	255.6307	72222	15324-64-8	C11301
CPD000489	glycoursodeoxycholate	LC/MS Neg	100002911	5033	448.3068	12310288	64480-66-6	
CPD000490	glycoursodeoxycholic acid sulfate (1)	LC/MS Neg	100020819	4309	263.6282			
CPD000491	glycylvaline	LC/MS Pos Early	100000487	2734	175.1077	97417	1963-21-9	
CPD000492	glycyrrhetinate	LC/MS Pos Late	100002856	1494	471.3469	18526330	471-53-4	C02283
CPD000493	guaiacol sulfate	LC/MS Neg	100004208	2344	203.002	22473		
CPD000494	guanidinoacetate	LC/MS Polar	344	2884	116.0466	763	352-97-6	C00581
CPD000495	guanidinosuccinate	LC/MS Polar	100001212	3550	174.052	97856	6133-30-8	C03139
CPD000496	gulonate*	LC/MS Polar	100001586	2750	195.051	152304	20246-53-1	C00257
CPD000497	heme	LC/MS Pos Late	100001386	1124	616.1762	26945	14875-96-8	C00032
CPD000498	heneicosapentaenoate (21:5n3)	LC/MS Neg	100015797	5514	315.233	11998573	24257-10-1	
CPD000499	heptanoate (7:0)	LC/MS Neg	925	3670	129.0921	8094	111-14-8	C17714
CPD000500	heptenedioate (C7:1-DC)*	LC/MS Polar	100019981	2816	157.0506			
CPD000501	hexadecadienoate (16:2n6)	LC/MS Neg	100009394	5398	251.2017	13932172	28290-73-5	
CPD000502	hexadecanedioate (C16)	LC/MS Neg	100001614	4615	285.2071	10459	505-54-4	C19615
CPD000503	hexadecasphingosine (d16:1)*	LC/MS Pos Late	100015723	1289	272.2584			
CPD000504	hexadecenedioate (C16:1-DC)*	LC/MS Neg	100019975	4380	283.1915			
CPD000505	hexanoylcarnitine (C6)	LC/MS Pos Early	100000781	3358	260.1856	6426853	6920-35-0	
CPD000506	hexanoylglutamine	LC/MS Neg	100001733	2780	243.135			
CPD000507	hexanoylglycine (C6)	LC/MS Neg	100001527	2900	172.0979	99463	24003-67-6	
CPD000508	hippurate	LC/MS Neg	100000014	2106.9	178.051	464	495-69-2	C01586
CPD000509	histidine	LC/MS Neg	355	755.9	154.0622	6274	5934-29-2	C00135
CPD000510	histidine betaine (hercynine)*	LC/MS Pos Early	100004059	2094	198.1237	3083620	534-30-5	
CPD000511	homoarginine	LC/MS Pos Early	100000961	2882	189.1346	9085	156-86-5	C01924
CPD000512	homocitrulline	LC/MS Pos Early	100000963	1908	190.1186	65072	1190-49-4	C02427
CPD000513	homostachydrine*	LC/MS Pos Early	100001550	1750	158.1176	441447	1195-94-4	C08283
CPD000514	homovanillate (HVA)	LC/MS Neg	117	1649	181.0506	1738	306-08-1	C05582
CPD000515	hydantoin-5-propionate	LC/MS Polar	100002514	2080	171.0411	782	5624-26-0	C05565
CPD000516	hydrochlorothiazide	LC/MS Neg	100002734	2046	295.9572	3639	58-93-5	C07041
CPD000517	hydroquinone sulfate	LC/MS Neg	100001604	1395	188.9863	161220	123-31-9	C00530
CPD000518	hydroxy-CMPF*	LC/MS Neg	100019794	1516	255.0874			
CPD000519	hydroxy-N6,N6,N6-trimethyllysine*	LC/MS Pos Early	100021123	2759	205.1547			
CPD000520	hydroxyasparagine	LC/MS Pos Early	100020205	1149	149.0557	97663		C03124
CPD000521	hydroxycotinine	LC/MS Pos Early	100002717	2030	193.0972	10219774	34834-67-8	
CPD000522	hyocholate	LC/MS Neg	100001279	5046	407.2803	92805	547-75-1	C17649
CPD000523	hypotaurine	LC/MS Polar	358	2763.4	108.0125	107812	300-84-5	C00519
CPD000524	hypoxanthine	LC/MS Pos Early	171	1295	137.0458	790	68-94-0	C00262
CPD000525	ibuprofen	LC/MS Neg	1487	4925	205.1234	3672	15687-27-1	D00126
CPD000526	ibuprofen acyl glucuronide	LC/MS Neg	100002406	4976	381.1555	163959	115075-59-7	
CPD000527	imidazole lactate	LC/MS Pos Early	100000263	2040	157.0608	793	14403-45-3	C05568
CPD000528	imidazole propionate	LC/MS Pos Early	100003434	2263	141.0659	70630	1074-59-5	
CPD000529	iminodiacetate (IDA)	LC/MS Pos Early	100000900	830	134.0448	8897	142-73-4	C19911
CPD000530	indole-3-carboxylate	LC/MS Neg	100002185	1710	160.0404	69867	771-50-6	C19837
CPD000531	indoleacetate	LC/MS Neg	100001034	2200	174.0561	802	6505-45-9	C00954
CPD000532	indoleacetoylcarnitine*	LC/MS Pos Early	100020479	3114	319.1652			
CPD000533	indoleacetylglutamine	LC/MS Pos Early	100001731	2185	304.1292	25200879		
CPD000534	indolelactate	LC/MS Neg	100000463	2286	204.0666	92904	832-97-3	C02043
CPD000535	indolepropionate	LC/MS Pos Early	100001083	3205	190.0863	3744	830-96-6	
CPD000536	indolin-2-one	LC/MS Pos Early	100004318	2575	134.06	321710	59-48-3	C12312
CPD000537	isobutyrylcarnitine (C4)	LC/MS Pos Early	100001055	2810	232.1543	168379	25518-49-4	
CPD000538	isobutyrylglycine (C4)	LC/MS Neg	100001590	1420	144.0666	10855600	15926-18-8	
CPD000539	isocitric lactone	LC/MS Polar	100009239	2970	173.0092	98259	4702-32-3	
CPD000540	isoeugenol sulfate	LC/MS Neg	100006089	3893	243.0333			
CPD000541	isoleucine	LC/MS Pos Early	376	2800	132.1019	6306	73-32-5	C00407
CPD000542	isoleucylglycine	LC/MS Neg	100003169	1992	187.1088	342532	868-28-0	
CPD000543	isoursodeoxycholate	LC/MS Neg	100002488	4809	391.2854	127601	78919-26-3	C17662
CPD000544	isovalerate (C5)	LC/MS Neg	100000708	1564	101.0608	10430	503-74-2	C08262
CPD000545	isovalerylcarnitine (C5)	LC/MS Pos Early	100001393	3085	246.17	6426851	31023-24-2	
CPD000546	isovalerylglycine	LC/MS Neg	100001452	1950	158.0823	546304	16284-60-9	
CPD000547	kynurenate	LC/MS Pos Early	98	2385	190.0499	3845	492-27-3	C01717
CPD000548	kynurenine	LC/MS Pos Early	100000265	2739	209.0921	161166	2922-83-0	C00328
CPD000549	L-urobilin	LC/MS Pos Late	100002568	901	595.349	5280818	34217-90-8	C05793
CPD000550	lactate	LC/MS Polar	482	1469	89.0244	612	79-33-4	C00186
CPD000551	lactobacillic acid	LC/MS Neg	100021065	5822	295.2643	10417	503-06-0	
CPD000552	lamivudine	LC/MS Neg	100020918	2043	228.0448	60825	134678-17-4	D00353
CPD000553	lamotrigine	LC/MS Pos Early	100009390	3379	256.0151	3878		D00354
CPD000554	lanthionine	LC/MS Pos Early	100003892	1730	209.0591	98504	8/2/3183	
CPD000555	laurate (12:0)	LC/MS Neg	181	5300	199.1704	3893	143-07-7	C02679
CPD000556	laurylcarnitine (C12)	LC/MS Pos Late	100001392	1235	344.2795	10427569	25518-54-1	
CPD000557	leucine	LC/MS Pos Early	397	2864	132.1019	6106	61-90-5	
