compound_id	BIOCHEMICAL	FORMULA	METHOD
CPD00456	sphingadienine	C18H35NO2	Method 2
CPD00457	sphinganine	C18H39NO2	Method 2
CPD00458	sphinganine-1-phosphate	C18H40NO5P	Method 2
CPD00459	sphingosine	C18H37NO2	Method 2
CPD00460	sphingosine 1-phosphate	C18H38NO5P	Method 2
CPD00461	stearoyl ethanolamide	C20H41NO2	Method 2
CPD00462	stearoylcarnitine (C18)	C25H49NO4	Method 2
CPD00463	stearoylcholine*	C23H48NO2	Method 2
CPD00464	ticlopidine		Method 2
CPD00465	ximenoylcarnitine (C26:1)*	C33H63NO4	Method 2
CPD00466	(N(1) + N(8))-acetylspermidine	C9H21N3O	Method 1
CPD00467	(R)-3-hydroxybutyrylcarnitine	C11H21NO5	Method 1
CPD00468	(S)-3-hydroxybutyrylcarnitine		Method 1
CPD00469	1-methyl-4-imidazoleacetate	C6H8N2O2	Method 1
CPD00470	1-methyl-5-imidazoleacetate	C6H8N2O2	Method 1
CPD00471	1-methylnicotinamide	C7H8N2O	Method 1
CPD00472	1-ribosyl-imidazoleacetate*	C10H14N2O6	Method 1
CPD00473	2'-O-methylcytidine	C10H15N3O5	Method 1
CPD00474	2-aminobutyrate	C4H9NO2	Method 1
CPD00475	2-aminoheptanoate	C7H15NO2	Method 1
CPD00476	2-methylbutyrylcarnitine (C5)	C12H23NO4	Method 1
CPD00477	2-methylbutyrylglycine	C7H13NO3	Method 1
CPD00478	2-piperidinone	C5H9NO	Method 1
CPD00479	2-pyrrolidinone	C4H7NO	Method 1
CPD00480	3-(cystein-S-yl)acetaminophen*	C11H14N2O4S	Method 1
CPD00481	3-amino-2-piperidone	C5H10N2O	Method 1
CPD00482	3-aminoisobutyrate	C4H9NO2	Method 1
CPD00483	3-hydroxybutyroylglycine**	C6H11NO4	Method 1
CPD00484	3-hydroxyhexanoylcarnitine (1)	C13H25NO5	Method 1
CPD00485	3-hydroxystachydrine*	C7H13NO3	Method 1
CPD00486	3-methoxytyrosine	C10H13NO4	Method 1
CPD00487	3-methylglutarylcarnitine (2)	C13H23NO6	Method 1
CPD00488	3-phosphoglycerate	C3H7O7P	Method 1
CPD00489	4-acetamidobutanoate	C6H11NO3	Method 1
CPD00490	4-guanidinobutanoate	C5H11N3O2	Method 1
CPD00491	4-hydroxyglutamate	C5H9NO5	Method 1
CPD00492	4-imidazoleacetate	C5H6N2O2	Method 1
CPD00493	5,6-dihydrothymine	C5H8N2O2	Method 1
CPD00494	5-hydroxyindoleacetate	C10H9NO3	Method 1
CPD00495	5-hydroxylysine	C6H14N2O3	Method 1
CPD00496	5-methylthioadenosine (MTA)	C11H15N5O3S	Method 1
CPD00497	7-methylguanine	C6H7N5O	Method 1
CPD00498	7-methylxanthine	C6H6N4O2	Method 1
CPD00499	8-methoxykynurenate	C11H9NO4	Method 1
CPD00500	acetylcarnitine (C2)	C9H17NO4	Method 1
CPD00501	adenine	C5H5N5	Method 1
CPD00502	adenosine 5'-monophosphate (AMP)	C10H14N5O7P	Method 1
CPD00503	adipoylcarnitine (C6-DC)	C13H23NO6	Method 1
CPD00504	alanine	C3H7NO2	Method 1
CPD00505	argininate*	C6H13N3O3	Method 1
CPD00506	arginine	C6H14N4O2	Method 1
CPD00507	asparagine	C4H8N2O3	Method 1
CPD00508	aspartate	C4H7NO4	Method 1
CPD00509	beta-alanine	C3H7NO2	Method 1
CPD00510	beta-guanidinopropanoate	C4H9N3O2	Method 1
CPD00511	betaine	C5H11NO2	Method 1
CPD00512	butyrylcarnitine (C4)		Method 1
CPD00513	caffeine	C8H10N4O2	Method 1
CPD00514	carboxyethyl-GABA	C7H13NO4	Method 1
CPD00515	carnitine	C7H15NO3	Method 1
CPD00516	choline	C5H13NO	Method 1
CPD00517	choline phosphate	C5H15NO4P	Method 1
CPD00518	cis-aconitate		Method 1
CPD00519	citramalate		Method 1
CPD00520	citrulline	C6H13N3O3	Method 1
CPD00521	creatine	C4H9N3O2	Method 1
CPD00522	creatinine	C4H7N3O	Method 1
CPD00523	cys-gly, oxidized	C10H18N4O6S2	Method 1
CPD00524	cystathionine	C7H14N2O4S	Method 1
CPD00525	cysteine	C3H7NO2S	Method 1
CPD00526	cysteine s-sulfate	C3H7NO5S2	Method 1
CPD00527	cysteine sulfinic acid	C3H7NO4S	Method 1
CPD00528	cysteine-glutathione disulfide	C13H22N4O8S2	Method 1
CPD00529	cysteinylglycine	C5H10N2O3S	Method 1
CPD00530	cysteinylglycine disulfide*	C8H15N3O5S2	Method 1
CPD00531	cystine	C6H12N2O4S2	Method 1
CPD00532	deoxycarnitine	C7H15NO2	Method 1
CPD00533	dimethylarginine (SDMA + ADMA)		Method 1
CPD00534	dimethylglycine	C4H9NO2	Method 1
CPD00535	doxylamine	C17H22N2O	Method 1
CPD00536	ectoine	C6H10N2O2	Method 1
CPD00537	fructosyllysine	C12H24N2O7	Method 1
CPD00538	gamma-carboxyglutamate	C6H9NO6	Method 1
CPD00539	gamma-glutamyl-2-aminobutyrate	C9H16N2O5	Method 1
CPD00540	gamma-glutamyl-alpha-lysine	C11H21N3O5	Method 1
CPD00541	gamma-glutamyl-epsilon-lysine	C11H21N3O5	Method 1
CPD00542	gamma-glutamylalanine	C8H14N2O5	Method 1
CPD00543	gamma-glutamylcitrulline*	C11H20N4O6	Method 1
CPD00544	gamma-glutamylglutamate	C10H16N2O7	Method 1
CPD00545	gamma-glutamylglutamine	C10H17N3O6	Method 1
CPD00546	gamma-glutamylglycine	C7H12N2O5	Method 1
CPD00547	gamma-glutamylhistidine	C11H16N4O5	Method 1
CPD00548	gamma-glutamylisoleucine*	C11H20N2O5	Method 1
CPD00549	gamma-glutamylleucine	C11H20N2O5	Method 1
CPD00550	gamma-glutamylmethionine	C10H18N2O5S	Method 1
CPD00551	gamma-glutamylphenylalanine	C14H18N2O5	Method 1
CPD00552	gamma-glutamylthreonine	C9H16N2O6	Method 1
CPD00553	gamma-glutamyltryptophan	C16H19N3O5	Method 1
CPD00554	glutamate	C5H9NO4	Method 1
CPD00555	glutamate, gamma-methyl ester	C6H11NO4	Method 1
CPD00556	glutamine	C5H10N2O3	Method 1
CPD00557	glutarylcarnitine (C5-DC)		Method 1
CPD00558	glycerol 3-phosphate	C3H9O6P	Method 1
CPD00559	glycerophosphoethanolamine	C5H14NO6P	Method 1
CPD00560	glycerophosphorylcholine (GPC)	C8H20NO6P	Method 1
CPD00561	glycine	C2H5NO2	Method 1
CPD00562	guaifenesin	C10H14O4	Method 1
CPD00563	hexanoylcarnitine (C6)		Method 1
CPD00564	histidine betaine (hercynine)*	C9H15N3O2	Method 1
CPD00565	homoarginine	C7H16N4O2	Method 1
CPD00566	homocitrulline	C7H15N3O3	Method 1
CPD00567	homostachydrine*	C8H15NO2	Method 1
CPD00568	hydroxy-N6,N6,N6-trimethyllysine*	C9H20N2O3	Method 1
CPD00569	hydroxyasparagine**	C4H8N2O4	Method 1
CPD00570	hydroxybupropion	C13H18ClNO2	Method 1
CPD00571	hypotaurine	C2H7NO2S	Method 1
CPD00572	imidazole lactate	C6H8N2O3	Method 1
CPD00573	imidazole propionate	C6H8N2O2	Method 1
CPD00574	iminodiacetate (IDA)	C4H7NO4	Method 1
CPD00575	indoleacetylcarnitine*		Method 1
CPD00576	isobutyrylcarnitine (C4)		Method 1
CPD00577	isoleucine	C6H13NO2	Method 1
CPD00578	isovalerylcarnitine (C5)		Method 1
CPD00579	kynurenine	C10H12N2O3	Method 1
CPD00580	lamotrigine	C9H7Cl2N5	Method 1
CPD00581	leucine	C6H13NO2	Method 1
CPD00582	lidocaine	C14H22N2O	Method 1
CPD00583	lysine	C6H14N2O2	Method 1
CPD00584	malonylcarnitine	C10H17NO6	Method 1
CPD00585	methionine	C5H11NO2S	Method 1
CPD00586	methionine sulfone	C5H11NO4S	Method 1
CPD00587	methionine sulfoxide	C5H11NO3S	Method 1
CPD00588	morphine	C17H19NO3	Method 1
CPD00589	N,N,N-trimethyl-5-aminovalerate	C8H17NO2	Method 1
CPD00590	N,N,N-trimethyl-alanylproline betaine (TMAP)	C11H20N2O3	Method 1
CPD00591	N,N-dimethylalanine	C5H11NO2	Method 1
CPD00592	N-acetyl-1-methylhistidine*	C9H13N3O3	Method 1
CPD00593	N-acetyl-aspartyl-glutamate (NAAG)	C11H16N2O8	Method 1
CPD00594	N-acetyl-cadaverine	C7H16N2O	Method 1
CPD00595	N-acetyl-isoputreanine*	C9H18N2O3	Method 1
CPD00596	N-acetylarginine	C8H16N4O3	Method 1
CPD00597	N-acetylglucosamine/N-acetylgalactosamine	C8H15NO6	Method 1
CPD00598	N-acetylglycine	C4H7NO3	Method 1
CPD00599	N-acetylhistidine	C8H11N3O3	Method 1
CPD00600	N-acetylputrescine	C6H14N2O	Method 1
CPD00601	N-alpha-acetylornithine	C7H14N2O3	Method 1
CPD00602	N-ethylglycinexylidide	C12H18N2O	Method 1
CPD00603	N-methylalanine	C4H9NO2	Method 1
CPD00604	N-methylhydroxyproline**	C6H11NO3	Method 1
CPD00605	N-methylpipecolate	C7H13NO2	Method 1
CPD00606	N-methylproline	C6H11NO2	Method 1
CPD00607	N1,N12-diacetylspermine	C14H30N4O2	Method 1
CPD00608	N1-Methyl-2-pyridone-5-carboxamide	C7H8N2O2	Method 1
CPD00609	N1-Methyl-4-pyridone-3-carboxamide	C7H8N2O2	Method 1
CPD00610	N1-methyladenosine	C11H15N5O4	Method 1
CPD00611	N1-methylinosine	C11H14N4O5	Method 1
CPD00612	N2,N2-dimethylguanosine	C12H17N5O5	Method 1
CPD00613	N2-acetyl,N6,N6-dimethyllysine	C10H20N2O3	Method 1
CPD00614	N2-acetyl,N6-methyllysine	C9H18N2O3	Method 1
CPD00615	N4-acetylcytidine	C11H15N3O6	Method 1
CPD00616	N6,N6,N6-trimethyllysine	C9H20N2O2	Method 1
CPD00617	N6,N6-dimethyllysine	C8H18N2O2	Method 1
CPD00618	N6-carboxymethyllysine	C8H16N2O4	Method 1
CPD00619	N6-methyladenosine	C11H15N5O4	Method 1
CPD00620	N6-methyllysine	C7H16N2O2	Method 1
CPD00621	nicotinamide	C6H6N2O	Method 1
CPD00622	ornithine	C5H12N2O2	Method 1
CPD00623	phenylacetylcarnitine	C15H22NO4	Method 1
CPD00624	phenylalanine	C9H11NO2	Method 1
CPD00625	phosphate	O4P	Method 1
CPD00626	phosphoethanolamine	C2H8NO4P	Method 1
CPD00627	picolinate	C6H5NO2	Method 1
CPD00628	pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	C14H25NO6	Method 1
CPD00629	pipecolate	C6H11NO2	Method 1
CPD00630	pro-hydroxy-pro	C10H16N2O4	Method 1
CPD00631	proline	C5H9NO2	Method 1
CPD00632	prolylglycine	C7H12N2O3	Method 1
CPD00633	propionylcarnitine (C3)		Method 1
CPD00634	pyridoxal	C8H9NO3	Method 1
CPD00635	pyroglutamine*	C5H8N2O2	Method 1
CPD00636	quinolinate	C7H5NO4	Method 1
CPD00637	ritalinic acid		Method 1
CPD00638	rocuronium		Method 1
CPD00639	S-1-pyrroline-5-carboxylate	C5H7NO2	Method 1
CPD00640	S-methylcysteine sulfoxide	C4H9NO3S	Method 1
CPD00641	sarcosine	C3H7NO2	Method 1
CPD00642	serine	C3H7NO3	Method 1
CPD00643	serotonin	C10H12N2O	Method 1
CPD00644	sitagliptin	C16H15F6N5O	Method 1
CPD00645	spermidine	C7H19N3	Method 1
CPD00646	stachydrine	C7H13NO2	Method 1
CPD00647	suberoylcarnitine (C8-DC)		Method 1
CPD00648	succinylcarnitine (C4-DC)	C11H19NO6	Method 1
CPD00649	taurine	C2H7NO3S	Method 1
CPD00650	theobromine	C7H8N4O2	Method 1
CPD00651	thioproline	C4H7NO2S	Method 1
CPD00652	threonine	C4H9NO3	Method 1
CPD00653	tiglylcarnitine (C5:1-DC)		Method 1
CPD00654	trans-4-hydroxyproline	C5H9NO3	Method 1
CPD00655	trans-urocanate	C6H6N2O2	Method 1
CPD00656	trigonelline (N'-methylnicotinate)	C7H7NO2	Method 1
CPD00657	trimethylamine N-oxide	C3H9NO	Method 1
CPD00658	trizma acetate	C4H11NO3	Method 1
CPD00659	tryptophan	C11H12N2O2	Method 1
CPD00660	tryptophan betaine	C14H18N2O2	Method 1
CPD00661	tyrosine	C9H11NO3	Method 1
CPD00662	urea	CH4N2O	Method 1
CPD00663	valine	C5H11NO2	Method 1
CPD00664	xanthurenate	C10H7NO4	Method 1
