compound_id	chemical_name	analysismode	mz	rt	BIOCHEMICAL
C000203	1-methylhistidine	RP_POS	170.0924	2755	1-methylhistidine
C000204	1-methylnicotinamide	RP_POS	137.0709	1940	1-methylnicotinamide
C000205	1-ribosyl-imidazoleacetate	RP_POS	259.0925	2006	1-ribosyl-imidazoleacetate
C000206	2-aminobutyrate	RP_POS	104.0706	2059	2-aminobutyrate
C000207	2-hydroxyglutarate	RP_POS	166.071	958	2-hydroxyglutarate
C000208	2-methylbutyrylcarnitine (C5)	RP_POS	246.17	3050	2-methylbutyrylcarnitine (C5)
C000209	2-methylserine	RP_POS	120.0655	1652	2-methylserine
C000210	2-oxoarginine	RP_POS	174.0873	1760	2-oxoarginine
C000211	2-piperidinone	RP_POS	100.0757	1675	2-piperidinone
C000212	2'-O-methylcytidine	RP_POS	258.1085	2411	2'-O-methylcytidine
C000213	3-aminoisobutyrate	RP_POS	104.0706	2190	3-aminoisobutyrate
C000214	3-hydroxybutyrylcarnitine (1)	RP_POS	248.1493	2400	3-hydroxybutyrylcarnitine (1)
C000215	3-hydroxybutyrylcarnitine (2)	RP_POS	248.1493	2340	3-hydroxybutyrylcarnitine (2)
C000216	3-methoxytyrosine	RP_POS	212.0917	2555	3-methoxytyrosine
C000217	3-phosphoglycerate	RP_POS	187.0002	590	3-phosphoglycerate
C000218	3-ureidopropionate	RP_POS	133.0608	875	3-ureidopropionate
C000219	4-acetamidobutanoate	RP_POS	146.0812	1350	4-acetamidobutanoate
C000220	4-guanidinobutanoate	RP_POS	146.0924	2320	4-guanidinobutanoate
C000221	4-hydroxyglutamate	RP_POS	164.0554	1141	4-hydroxyglutamate
C000222	4-imidazoleacetate	RP_POS	127.0502	2055	4-imidazoleacetate
C000223	5-(galactosylhydroxy)-L-lysine	RP_POS	325.1606	2755	5-(galactosylhydroxy)-L-lysine
C000224	5-hydroxyindoleacetate	RP_POS	192.0655	1893	5-hydroxyindoleacetate
C000225	5-hydroxylysine	RP_POS	163.1077	2790	5-hydroxylysine
C000226	5-methylthioadenosine (MTA)	RP_POS	298.0968	2752	5-methylthioadenosine (MTA)
C000227	5-methylthioribose	RP_POS	181.0529	790	5-methylthioribose
C000228	acetylcarnitine (C2)	RP_POS	204.123	2282	acetylcarnitine (C2)
C000229	adenine	RP_POS	136.0618	2221	adenine
C000230	adenosine 5'-monophosphate (AMP)	RP_POS	348.0704	1013	adenosine 5'-monophosphate (AMP)
C000231	adipoylcarnitine (C6-DC)	RP_POS	290.1598	2570	adipoylcarnitine (C6-DC)
C000232	alanine	RP_POS	90.055	1700	alanine
C000233	argininate	RP_POS	176.103	2150	argininate
C000234	arginine	RP_POS	175.119	2825	arginine
C000235	asparagine	RP_POS	133.0608	1225	asparagine
C000236	aspartate	RP_POS	134.0448	1165	aspartate
C000237	beta-alanine	RP_POS	90.055	1905	beta-alanine
C000238	betaine	RP_POS	118.0863	1064	betaine
C000239	butyrylcarnitine (C4)	RP_POS	232.1543	2860	butyrylcarnitine (C4)
C000240	carnitine	RP_POS	162.1125	1978	carnitine
C000241	carnosine	RP_POS	227.1139	2942	carnosine
C000242	choline	RP_POS	104.107	1961	choline
C000243	choline phosphate	RP_POS	184.0733	700	choline phosphate
C000244	citrulline	RP_POS	176.103	1520	citrulline
C000245	creatine	RP_POS	132.0768	1947	creatine
C000246	creatinine	RP_POS	114.0662	2055	creatinine
C000247	cys-gly, oxidized	RP_POS	355.0741	2947	cys-gly, oxidized
C000248	cystathionine	RP_POS	223.0747	2270	cystathionine
C000249	cysteine	RP_POS	122.027	1488	cysteine
C000250	cysteinylglycine disulfide	RP_POS	298.0526	2547	cysteinylglycine disulfide
C000251	cystine	RP_POS	241.0311	2000	cystine
C000252	deoxycarnitine	RP_POS	146.1176	2052	deoxycarnitine
C000253	dimethylarginine (SDMA + ADMA)	RP_POS	203.1503	2850	dimethylarginine (SDMA + ADMA)
C000254	dimethylglycine	RP_POS	104.0706	1104	dimethylglycine
C000255	ergothioneine	RP_POS	230.0958	850	ergothioneine
C000256	formiminoglutamate	RP_POS	175.0713	1880	formiminoglutamate
C000257	gamma-glutamyl-alpha-lysine	RP_POS	276.1554	2784	gamma-glutamyl-alpha-lysine
C000258	gamma-glutamylalanine	RP_POS	219.0976	1986	gamma-glutamylalanine
C000259	gamma-glutamylcitrulline	RP_POS	305.1456	1644	gamma-glutamylcitrulline
C000260	gamma-glutamylglutamate	RP_POS	277.103	1775	gamma-glutamylglutamate
C000261	gamma-glutamylglutamine	RP_POS	276.119	1430	gamma-glutamylglutamine
C000262	gamma-glutamylglycine	RP_POS	205.0819	1535	gamma-glutamylglycine
C000263	gamma-glutamylhistidine	RP_POS	285.1194	2740	gamma-glutamylhistidine
C000264	gamma-glutamylphenylalanine	RP_POS	295.1289	2992	gamma-glutamylphenylalanine
C000265	gamma-glutamylthreonine	RP_POS	249.1081	1750	gamma-glutamylthreonine
C000266	glutamate	RP_POS	148.0604	1500	glutamate
C000267	glutamine	RP_POS	147.0764	1291	glutamine
C000268	glutarylcarnitine (C5-DC)	RP_POS	276.1442	2393	glutarylcarnitine (C5-DC)
C000269	glycerol 3-phosphate	RP_POS	173.021	580	glycerol 3-phosphate
C000270	glycerophosphoethanolamine	RP_POS	216.0632	659	glycerophosphoethanolamine
C000271	glycine	RP_POS	76.0393	1375	glycine
C000272	homoarginine	RP_POS	189.1346	2882	homoarginine
C000273	hydroxyasparagine	RP_POS	149.0557	1149	hydroxyasparagine
C000274	hypotaurine	RP_POS	110.027	724	hypotaurine
C000275	imidazole lactate	RP_POS	157.0608	2040	imidazole lactate
C000276	imidazole propionate	RP_POS	141.0659	2263	imidazole propionate
C000277	iminodiacetate (IDA)	RP_POS	134.0448	808	iminodiacetate (IDA)
C000278	indoleacetylcarnitine	RP_POS	319.1652	3114	indoleacetylcarnitine
C000279	isobutyrylcarnitine (C4)	RP_POS	232.1543	2810	isobutyrylcarnitine (C4)
C000280	isoleucine	RP_POS	132.1019	2800	isoleucine
C000281	isovalerylcarnitine (C5)	RP_POS	246.17	3085	isovalerylcarnitine (C5)
C000282	kynurenine	RP_POS	209.0921	2739	kynurenine
C000283	lanthionine	RP_POS	209.0591	1730	lanthionine
C000284	leucine	RP_POS	132.1019	2864	leucine
C000285	lidocaine	RP_POS	235.1805	3250	lidocaine
C000286	lysine	RP_POS	147.1128	2850	lysine
C000287	methionine	RP_POS	150.0583	2526	methionine
C000288	methionine sulfone	RP_POS	182.0482	1250	methionine sulfone
C000289	methionine sulfoxide	RP_POS	166.0533	1272	methionine sulfoxide
C000290	methyl glucopyranoside (alpha + beta)	RP_POS	212.1127	832	methyl glucopyranoside (alpha + beta)
C000291	N-acetyl-aspartyl-glutamate (NAAG)	RP_POS	305.098	1035	N-acetyl-aspartyl-glutamate (NAAG)
C000292	N-acetyl-isoputreanine	RP_POS	203.139	2305	N-acetyl-isoputreanine
C000293	N-acetylarginine	RP_POS	217.1295	2245	N-acetylarginine
C000294	N-acetylglucosamine/N-acetylgalactosamine	RP_POS	222.0972	715	N-acetylglucosamine/N-acetylgalactosamine
C000295	N-acetylglutamate	RP_POS	190.071	1050	N-acetylglutamate
C000296	N-acetylglycine	RP_POS	118.0499	826	N-acetylglycine
C000297	N-acetylhistidine	RP_POS	198.0873	2065	N-acetylhistidine
C000298	N-acetylputrescine	RP_POS	131.1179	2230	N-acetylputrescine
C000299	N-methylpipecolate	RP_POS	144.1019	1932	N-methylpipecolate
C000300	N-methylproline	RP_POS	130.0863	1335	N-methylproline
C000301	N-trimethyl 5-aminovalerate	RP_POS	160.1332	2186	N-trimethyl 5-aminovalerate
C000302	N1-methyladenosine	RP_POS	282.1197	2120	N1-methyladenosine
C000303	N1,N12-diacetylspermine	RP_POS	287.2442	3105	N1,N12-diacetylspermine
C000304	N2,N2-dimethylguanosine	RP_POS	312.1303	2210	N2,N2-dimethylguanosine
C000305	N6,N6,N6-trimethyllysine	RP_POS	189.1598	2825	N6,N6,N6-trimethyllysine
C000306	nicotinamide	RP_POS	123.0553	1942	nicotinamide
C000307	ornithine	RP_POS	133.0972	2800	ornithine
C000308	phenylalanine	RP_POS	166.0863	2878	phenylalanine
C000309	phosphate	RP_POS	98.9842	576	phosphate
C000310	phosphoethanolamine	RP_POS	142.0264	700	phosphoethanolamine
C000311	picolinate	RP_POS	124.0393	910	picolinate
C000312	pipecolate	RP_POS	130.0863	2200	pipecolate
C000313	pro-hydroxy-pro	RP_POS	229.1183	2128	pro-hydroxy-pro
C000314	proline	RP_POS	116.0706	1603	proline
C000315	propionylcarnitine (C3)	RP_POS	218.1387	2590	propionylcarnitine (C3)
C000316	pyroglutamine	RP_POS	129.0659	1900	pyroglutamine
C000317	quinolinate	RP_POS	168.0291	845	quinolinate
C000318	S-1-pyrroline-5-carboxylate	RP_POS	114.055	1528	S-1-pyrroline-5-carboxylate
C000319	S-methylcysteine sulfoxide	RP_POS	152.0376	900	S-methylcysteine sulfoxide
C000320	sarcosine	RP_POS	90.055	1280	sarcosine
C000321	serine	RP_POS	106.0499	1239	serine
C000322	stachydrine	RP_POS	144.1019	1440	stachydrine
C000323	suberoylcarnitine (C8-DC)	RP_POS	318.1911	2964	suberoylcarnitine (C8-DC)
C000324	succinylcarnitine (C4-DC)	RP_POS	262.1285	2291	succinylcarnitine (C4-DC)
C000325	taurine	RP_POS	126.022	660	taurine
C000326	theobromine	RP_POS	181.072	1600	theobromine
C000327	thioproline	RP_POS	134.027	1250	thioproline
C000328	threonine	RP_POS	120.0655	1514	threonine
C000329	trans-4-hydroxyproline	RP_POS	132.0655	1064	trans-4-hydroxyproline
C000330	trigonelline (N'-methylnicotinate)	RP_POS	138.055	1388	trigonelline (N'-methylnicotinate)
C000331	trimethylamine N-oxide	RP_POS	76.0757	2100	trimethylamine N-oxide
C000332	tryptophan	RP_POS	205.0972	2986	tryptophan
C000333	tryptophan betaine	RP_POS	247.1441	2673	tryptophan betaine
C000334	tyrosine	RP_POS	182.0812	2430	tyrosine
C000335	urea	RP_POS	121.072	700	urea
C000336	valine	RP_POS	118.0863	2479	valine
C000337	1-arachidonoyl-GPI (20:4)	RP_NEG	619.2889	5482	1-arachidonoyl-GPI (20:4)
C000338	1-dihomo-linolenylglycerol (20:3)	RP_NEG	305.2486	6400	1-dihomo-linolenylglycerol (20:3)
C000339	1-linolenoylglycerol (18:3)	RP_NEG	277.2173	6214	1-linolenoylglycerol (18:3)
C000340	1-linoleoyl-GPG (18:2)	RP_NEG	507.2728	5516	1-linoleoyl-GPG (18:2)
C000341	1-linoleoyl-GPI (18:2)	RP_NEG	595.2889	5494	1-linoleoyl-GPI (18:2)
C000342	1-myristoylglycerol (14:0)	RP_NEG	227.2016	6353.3	1-myristoylglycerol (14:0)
C000343	1-oleoyl-GPG (18:1)	RP_NEG	509.2885	5610	1-oleoyl-GPG (18:1)
C000344	1-oleoyl-GPI (18:1)	RP_NEG	597.3045	5599	1-oleoyl-GPI (18:1)
C000345	1-palmitoleoylglycerol (16:1)	RP_NEG	253.2173	6094	1-palmitoleoylglycerol (16:1)
C000346	1-palmitoyl-GPG (16:0)	RP_NEG	483.2728	5570	1-palmitoyl-GPG (16:0)
C000347	1-palmitoyl-GPI (16:0)	RP_NEG	571.2889	5564	1-palmitoyl-GPI (16:0)
C000348	1-stearoyl-GPG (18:0)	RP_NEG	511.3041	5816	1-stearoyl-GPG (18:0)
C000349	1-stearoyl-GPI (18:0)	RP_NEG	599.3202	5794	1-stearoyl-GPI (18:0)
C000350	1,5-anhydroglucitol (1,5-AG)	RP_NEG	163.0612	802	1,5-anhydroglucitol (1,5-AG)
C000351	10-heptadecenoate (17:1n7)	RP_NEG	267.233	5555	10-heptadecenoate (17:1n7)
C000352	10-nonadecenoate (19:1n9)	RP_NEG	295.2643	5780	10-nonadecenoate (19:1n9)
C000353	10-undecenoate (11:1n1)	RP_NEG	183.1391	5085.8	10-undecenoate (11:1n1)
C000354	12,13-DiHOME	RP_NEG	313.2384	5137	12,13-DiHOME
C000355	13-HODE + 9-HODE	RP_NEG	295.2283	5275	13-HODE + 9-HODE
C000356	15-methylpalmitate (i17:0)	RP_NEG	269.2487	5695	15-methylpalmitate (i17:0)
C000357	16-hydroxypalmitate	RP_NEG	271.2279	5236.2	16-hydroxypalmitate
C000358	16a-hydroxy DHEA 3-sulfate	RP_NEG	383.1534	4240	16a-hydroxy DHEA 3-sulfate
C000359	17-methylstearate (i19:0)	RP_NEG	297.2799	5993	17-methylstearate (i19:0)
C000360	17alpha-hydroxypregnenolone 3-sulfate	RP_NEG	411.1847	4800	17alpha-hydroxypregnenolone 3-sulfate
C000361	2-aminoheptanoate	RP_NEG	144.103	2384	2-aminoheptanoate
C000362	2-aminooctanoate	RP_NEG	158.1187	3385	2-aminooctanoate
C000363	2-aminophenol sulfate	RP_NEG	188.0023	1677	2-aminophenol sulfate
C000364	2-hydroxy-3-methylvalerate	RP_NEG	131.0714	1800	2-hydroxy-3-methylvalerate
C000365	2-hydroxyarachidate	RP_NEG	327.2905	5990	2-hydroxyarachidate
C000366	2-hydroxybehenate	RP_NEG	355.3218	6384	2-hydroxybehenate
C000367	2-hydroxydecanoate	RP_NEG	187.134	4840	2-hydroxydecanoate
C000368	2-hydroxyhippurate (salicylurate)	RP_NEG	194.0459	2184	2-hydroxyhippurate (salicylurate)
C000369	2-hydroxylaurate	RP_NEG	215.1653	5211	2-hydroxylaurate
C000370	2-hydroxymyristate	RP_NEG	243.1966	5364	2-hydroxymyristate
C000371	2-hydroxynervonate	RP_NEG	381.3374	6345	2-hydroxynervonate
C000372	2-hydroxyoctanoate	RP_NEG	159.1027	3736.8	2-hydroxyoctanoate
C000373	2-hydroxyoleate	RP_NEG	297.2435	5560	2-hydroxyoleate
C000374	2-hydroxypalmitate	RP_NEG	271.2279	5511.2	2-hydroxypalmitate
C000375	2-hydroxystearate	RP_NEG	299.2592	5695	2-hydroxystearate
C000376	2-linoleoylglycerol (18:2)	RP_NEG	279.2329	6250	2-linoleoylglycerol (18:2)
C000377	2-myristoylglycerol (14:0)	RP_NEG	227.2016	6230	2-myristoylglycerol (14:0)
C000378	2-oleoylglycerol (18:1)	RP_NEG	281.2486	6500	2-oleoylglycerol (18:1)
C000379	2-palmitoleoylglycerol (16:1)	RP_NEG	253.2173	6016	2-palmitoleoylglycerol (16:1)
C000380	2-palmitoyl-GPC (16:0)	RP_NEG	570.3413	6215	2-palmitoyl-GPC (16:0)
C000381	2-palmitoylglycerol (16:0)	RP_NEG	255.2329	6400	2-palmitoylglycerol (16:0)
C000382	2-stearoyl-GPE (18:0)	RP_NEG	480.3096	6350	2-stearoyl-GPE (18:0)
C000383	2'-O-methyluridine	RP_NEG	257.0779	1831	2'-O-methyluridine
C000384	21-hydroxypregnenolone disulfate	RP_NEG	245.0671	3935	21-hydroxypregnenolone disulfate
C000385	21-hydroxypregnenolone monosulfate (2)	RP_NEG	411.1847	4711	21-hydroxypregnenolone monosulfate (2)
C000386	3-(4-hydroxyphenyl)lactate	RP_NEG	181.0506	1379	3-(4-hydroxyphenyl)lactate
C000387	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-Cmpfp)	RP_NEG	267.1238	4000	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-Cmpfp)
C000388	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	RP_NEG	239.0925	2800	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
C000389	3-hydroxydecanoate	RP_NEG	187.134	4634.7	3-hydroxydecanoate
C000390	3-hydroxyhexanoate	RP_NEG	131.0714	1725	3-hydroxyhexanoate
C000391	3-hydroxylaurate	RP_NEG	215.1653	5175	3-hydroxylaurate
C000392	3-hydroxyoctanoate	RP_NEG	159.1027	3446	3-hydroxyoctanoate
C000393	3-hydroxyoleate	RP_NEG	297.2435	5508	3-hydroxyoleate
C000394	3-hydroxypyridine sulfate	RP_NEG	173.9867	1595.5	3-hydroxypyridine sulfate
C000395	3-indoxyl sulfate	RP_NEG	212.0023	2222.2	3-indoxyl sulfate
C000396	3-methoxytyramine sulfate	RP_NEG	246.0442	1722	3-methoxytyramine sulfate
C000397	3-methyl-2-oxobutyrate	RP_NEG	115.0401	1465	3-methyl-2-oxobutyrate
C000398	3-methyl-2-oxovalerate	RP_NEG	129.0557	2064.2	3-methyl-2-oxovalerate
C000399	3,4-methyleneheptanoate	RP_NEG	141.0921	3807	3,4-methyleneheptanoate
C000400	3,4-methyleneheptanoylcarnitine	RP_NEG	346.1871	4096	3,4-methyleneheptanoylcarnitine
C000401	3beta-hydroxy-5-cholestenoate	RP_NEG	415.3218	5398	3beta-hydroxy-5-cholestenoate
C000402	3beta,7alpha-dihydroxy-5-cholestenoate	RP_NEG	431.3167	5275	3beta,7alpha-dihydroxy-5-cholestenoate
C000403	4-allylphenol sulfate	RP_NEG	213.0227	3805	4-allylphenol sulfate
C000404	4-ethylphenylsulfate	RP_NEG	201.0227	3580	4-ethylphenylsulfate
C000405	4-hydroxychlorothalonil	RP_NEG	244.9082	4427	4-hydroxychlorothalonil
C000406	4-hydroxyhippurate	RP_NEG	194.0459	1475	4-hydroxyhippurate
C000407	4-hydroxyphenylpyruvate	RP_NEG	179.035	1690	4-hydroxyphenylpyruvate
C000408	4-methoxyphenol sulfate	RP_NEG	203.002	2412	4-methoxyphenol sulfate
C000409	4-methyl-2-oxopentanoate	RP_NEG	129.0557	2170	4-methyl-2-oxopentanoate
C000410	4-methylcatechol sulfate	RP_NEG	203.002	2665	4-methylcatechol sulfate
C000411	4-vinylphenol sulfate	RP_NEG	199.0071	3320	4-vinylphenol sulfate
C000412	5-bromotryptophan	RP_NEG	280.9931	3525	5-bromotryptophan
C000413	5-dodecenoate (12:1n7)	RP_NEG	197.1547	5224	5-dodecenoate (12:1n7)
C000414	5-hydroxyhexanoate	RP_NEG	131.0714	1267	5-hydroxyhexanoate
C000415	5-methyluridine (ribothymidine)	RP_NEG	257.0779	1778.1	5-methyluridine (ribothymidine)
C000416	5-oxoproline	RP_NEG	128.0353	738.5	5-oxoproline
C000417	5,6-dihydrothymine	RP_NEG	127.0513	1637.8	5,6-dihydrothymine
C000418	5,6-dihydrouridine	RP_NEG	245.0779	1119	5,6-dihydrouridine
C000419	5alpha-pregnan-3beta,20alpha-diol disulfate	RP_NEG	239.0853	3962	5alpha-pregnan-3beta,20alpha-diol disulfate
C000420	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	RP_NEG	399.2211	5060	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)
C000421	6-hydroxyindole sulfate	RP_NEG	212.0023	2498	6-hydroxyindole sulfate
C000422	6-oxopiperidine-2-carboxylate	RP_NEG	142.051	965	6-oxopiperidine-2-carboxylate
C000423	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	RP_NEG	429.301	5288.1	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)
C000424	7-methylguanine	RP_NEG	164.0578	1729.7	7-methylguanine
C000425	9-hydroxystearate	RP_NEG	299.2592	5384	9-hydroxystearate
C000426	9,10-DiHOME	RP_NEG	313.2384	5180	9,10-DiHOME
C000427	acisoga	RP_NEG	183.1139	2297	acisoga
C000428	aconitate [cis or trans]	RP_NEG	173.0092	580	aconitate [cis or trans]
C000429	adrenate (22:4n6)	RP_NEG	331.2643	5678	adrenate (22:4n6)
C000430	alpha-CEHC sulfate	RP_NEG	357.1013	3090	alpha-CEHC sulfate
C000431	alpha-hydroxyisocaproate	RP_NEG	131.0714	1840	alpha-hydroxyisocaproate
C000432	andro steroid monosulfate C19H28O6S (1)	RP_NEG	383.1534	3871	andro steroid monosulfate C19H28O6S (1)
C000433	androstenediol (3beta,17beta) disulfate (1)	RP_NEG	224.0618	3740	androstenediol (3beta,17beta) disulfate (1)
C000434	androstenediol (3beta,17beta) disulfate (2)	RP_NEG	224.0624	4065	androstenediol (3beta,17beta) disulfate (2)
C000435	arachidate (20:0)	RP_NEG	311.2956	6240	arachidate (20:0)
C000436	arachidonate (20:4n6)	RP_NEG	303.233	5535	arachidonate (20:4n6)
C000437	azelate (C9-DC)	RP_NEG	187.0976	1276	azelate (C9-DC)
C000438	beta-citrylglutamate	RP_NEG	320.0623	530	beta-citrylglutamate
C000439	beta-hydroxyisovalerate	RP_NEG	117.0557	1027	beta-hydroxyisovalerate
C000440	C-glycosyltryptophan	RP_NEG	365.1354	1777	C-glycosyltryptophan
C000441	caprate (10:0)	RP_NEG	171.1391	5090.7	caprate (10:0)
C000442	caproate (6:0)	RP_NEG	115.0765	2713.7	caproate (6:0)
C000443	caprylate (8:0)	RP_NEG	143.1078	4362	caprylate (8:0)
C000444	catechol sulfate	RP_NEG	188.9863	1906	catechol sulfate
C000445	chenodeoxycholate	RP_NEG	391.2854	5264	chenodeoxycholate
C000446	cholate	RP_NEG	407.2803	5165	cholate
C000447	citrate	RP_NEG	191.0197	582	citrate
C000448	cortisol	RP_NEG	361.202	4710	cortisol
C000449	cortisone	RP_NEG	359.1864	4575	cortisone
C000450	dehydroisoandrosterone sulfate (DHEA-S)	RP_NEG	367.1585	4745	dehydroisoandrosterone sulfate (DHEA-S)
C000451	dihomo-linoleate (20:2n6)	RP_NEG	307.2643	5730	dihomo-linoleate (20:2n6)
C000452	dihomo-linolenate (20:3n3 or n6)	RP_NEG	305.2486	5596	dihomo-linolenate (20:3n3 or n6)
C000453	docosadienoate (22:2n6)	RP_NEG	335.2956	6034	docosadienoate (22:2n6)
C000454	docosadioate (C22-DC)	RP_NEG	369.301	5291.8	docosadioate (C22-DC)
C000455	docosahexaenoate (DHA; 22:6n3)	RP_NEG	327.233	5525	docosahexaenoate (DHA; 22:6n3)
C000456	docosapentaenoate (n3 DPA; 22:5n3)	RP_NEG	329.2486	5571	docosapentaenoate (n3 DPA; 22:5n3)
C000457	docosapentaenoate (n6 DPA; 22:5n6)	RP_NEG	329.2486	5624.5	docosapentaenoate (n6 DPA; 22:5n6)
C000458	dodecadienoate (12:2)	RP_NEG	195.1391	5146	dodecadienoate (12:2)
C000459	dodecanedioate (C12-DC)	RP_NEG	229.1445	2990	dodecanedioate (C12-DC)
C000460	dopamine 3-O-sulfate	RP_NEG	232.0285	1556.2	dopamine 3-O-sulfate
C000461	EDTA	RP_NEG	291.0834	643	EDTA
C000462	eicosanodioate (C20-DC)	RP_NEG	341.2697	5200.9	eicosanodioate (C20-DC)
C000463	eicosapentaenoate (EPA; 20:5n3)	RP_NEG	301.2173	5450	eicosapentaenoate (EPA; 20:5n3)
C000464	eicosenoate (20:1)	RP_NEG	309.2799	5950	eicosenoate (20:1)
C000465	erucate (22:1n9)	RP_NEG	337.3112	6355.6	erucate (22:1n9)
C000466	gamma-CEHC	RP_NEG	263.1289	3843	gamma-CEHC
C000467	gamma-glutamylisoleucine	RP_NEG	259.1299	1600	gamma-glutamylisoleucine
C000468	gamma-glutamylleucine	RP_NEG	259.1299	1685	gamma-glutamylleucine
C000469	gamma-glutamylmethionine	RP_NEG	277.0864	1268	gamma-glutamylmethionine
C000470	gamma-glutamyltryptophan	RP_NEG	332.1252	1960	gamma-glutamyltryptophan
C000471	gamma-glutamyltyrosine	RP_NEG	309.1092	1240	gamma-glutamyltyrosine
C000472	gamma-glutamylvaline	RP_NEG	245.1143	1072	gamma-glutamylvaline
C000473	glycerol	RP_NEG	91.0401	758	glycerol
C000474	glycine conjugate of C10H14O2 (1)	RP_NEG	222.1136	4335	glycine conjugate of C10H14O2 (1)
C000475	glycochenodeoxycholate	RP_NEG	448.3068	5236.1	glycochenodeoxycholate
C000476	glycochenodeoxycholate glucuronide (1)	RP_NEG	311.6658	4806	glycochenodeoxycholate glucuronide (1)
C000477	glycochenodeoxycholate sulfate	RP_NEG	263.6282	4820	glycochenodeoxycholate sulfate
C000478	glycocholate	RP_NEG	464.3018	5163	glycocholate
C000479	glycocholenate sulfate	RP_NEG	254.6229	4750	glycocholenate sulfate
C000480	glycohyocholate	RP_NEG	464.3018	5020	glycohyocholate
C000481	glycolithocholate sulfate	RP_NEG	255.6307	5011	glycolithocholate sulfate
C000482	glycoursodeoxycholate	RP_NEG	448.3068	5033	glycoursodeoxycholate
C000483	guaiacol sulfate	RP_NEG	203.002	2344	guaiacol sulfate
C000484	heptanoate (7:0)	RP_NEG	129.0921	3670	heptanoate (7:0)
C000485	hexadecadienoate (16:2n6)	RP_NEG	251.2017	5398	hexadecadienoate (16:2n6)
C000486	hexadecanedioate (C16-DC)	RP_NEG	285.2071	4615	hexadecanedioate (C16-DC)
C000487	hexadecatrienoate (16:3n3)	RP_NEG	249.186	5330	hexadecatrienoate (16:3n3)
C000488	hexadecenedioate (C16:1-DC)	RP_NEG	283.1915	4380	hexadecenedioate (C16:1-DC)
C000489	hexanoylglutamine	RP_NEG	243.135	2780	hexanoylglutamine
C000490	hippurate	RP_NEG	178.051	2106.9	hippurate
C000491	histidine	RP_NEG	154.0622	755.9	histidine
C000492	HWESASXX	RP_NEG	940.4534	3722	HWESASXX
C000493	hydroxy-CMPF	RP_NEG	255.0874	1516	hydroxy-CMPF
C000494	hyocholate	RP_NEG	407.2803	5046	hyocholate
C000495	hypoxanthine	RP_NEG	135.0312	1291.2	hypoxanthine
C000496	indole-3-carboxylic acid	RP_NEG	160.0404	1710	indole-3-carboxylic acid
C000497	indoleacetate	RP_NEG	174.0561	2200	indoleacetate
C000498	indolelactate	RP_NEG	204.0666	2286	indolelactate
C000499	inosine	RP_NEG	267.0735	1602.1	inosine
C000500	isoleucylglycine	RP_NEG	187.1088	1992	isoleucylglycine
C000501	isovalerylglycine	RP_NEG	158.0823	1950	isovalerylglycine
C000502	kynurenate	RP_NEG	188.0353	2224	kynurenate
C000503	laurate (12:0)	RP_NEG	199.1704	5300	laurate (12:0)
C000504	leucylglycine	RP_NEG	187.1088	2050	leucylglycine
C000505	linoleate (18:2n6)	RP_NEG	279.233	5535	linoleate (18:2n6)
C000506	linolenate [alpha or gamma; (18:3n3 or 6)]	RP_NEG	277.2173	5450	linolenate [alpha or gamma; (18:3n3 or 6)]
C000507	malate	RP_NEG	133.0143	615.6	malate
C000508	margarate (17:0)	RP_NEG	269.2486	5731	margarate (17:0)
C000509	methyl-4-hydroxybenzoate sulfate	RP_NEG	230.9969	2873	methyl-4-hydroxybenzoate sulfate
C000510	myristate (14:0)	RP_NEG	227.2017	5440	myristate (14:0)
C000511	myristoleate (14:1n5)	RP_NEG	225.186	5346.9	myristoleate (14:1n5)
C000512	N-acetyl-2-aminooctanoate	RP_NEG	200.1292	3943	N-acetyl-2-aminooctanoate
C000513	N-acetyl-beta-alanine	RP_NEG	130.051	773	N-acetyl-beta-alanine
C000514	N-acetylcarnosine	RP_NEG	267.1099	1235	N-acetylcarnosine
C000515	N-acetylisoleucine	RP_NEG	172.0979	2325	N-acetylisoleucine
C000516	N-acetylleucine	RP_NEG	172.0979	2400	N-acetylleucine
C000517	N-acetylmethionine	RP_NEG	190.0543	1787	N-acetylmethionine
C000518	N-acetylphenylalanine	RP_NEG	206.0823	2597	N-acetylphenylalanine
C000519	N-acetyltaurine	RP_NEG	166.018	800	N-acetyltaurine
C000520	N-acetylthreonine	RP_NEG	160.0615	821.6	N-acetylthreonine
C000521	N-acetyltryptophan	RP_NEG	245.0932	2630	N-acetyltryptophan
C000522	N-acetyltyrosine	RP_NEG	222.0772	1680	N-acetyltyrosine
C000523	N-acetylvaline	RP_NEG	158.0823	1704	N-acetylvaline
C000524	N-delta-acetylornithine	RP_NEG	173.0932	858	N-delta-acetylornithine
C000525	N-formylanthranilic acid	RP_NEG	164.0353	2150	N-formylanthranilic acid
C000526	N-formylmethionine	RP_NEG	176.0387	1543.8	N-formylmethionine
