compound_id	BIOCHEMICAL	PATHWAY SORTORDER	SUPER_PATHWAY	SUB_PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	PUBCHEM	CAS	KEGG	HMDB
CPD000170	adipoylcarnitine (C6-DC)	1825	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)	52988	LC/MS Pos Early	100006614	2570	290.1598	71296139			HMDB61677
CPD000171	alanine	28	Amino Acid	Alanine and Aspartate Metabolism	1126	LC/MS Pos Early	811	1700	90.055	5950	56-41-7	C00041	HMDB00161
CPD000172	alliin	4627	Xenobiotics	Food Component/Plant	41494	LC/MS Pos Early	100003473	1470	178.0532	87310	556-27-4	C08265	HMDB33592
CPD000173	alpha-hydroxymetoprolol	5356	Xenobiotics	Drug - Cardiovascular	54738	LC/MS Pos Early	100006385	2900	284.1856	114962	56392-16-6		HMDB60994
CPD000174	anthranilate	260	Amino Acid	Tryptophan Metabolism	4970	LC/MS Pos Early	1258	2606	138.055	227	118-92-3	C00108	HMDB01123
CPD000175	arginite*	477	Amino Acid	Urea cycle; Arginine and Proline Metabolism	57461	LC/MS Pos Early	100002769	2150	176.103	160437	157-07-3		HMDB03148
CPD000176	arginine	439	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1638	LC/MS Pos Early	231	2825	175.119	232	1119-34-2	C00062	HMDB00517
CPD000177	asparagine	39	Amino Acid	Alanine and Aspartate Metabolism	512	LC/MS Pos Early	917	1225	133.0608	6267	70-47-3	C00152	HMDB00168
CPD000178	aspartate	35	Amino Acid	Alanine and Aspartate Metabolism	443	LC/MS Pos Early	234	1165	134.0448	5960	56-84-8	C00049	HMDB00191
CPD000179	atenolol	5359	Xenobiotics	Drug - Cardiovascular	38658	LC/MS Pos Early	100002726	2668	267.1703	2249	29122-68-7	D00235	HMDB01924
CPD000180	benzoylecgonine	5178	Xenobiotics	Drug - Algesics, Anesthetics	39678	LC/MS Pos Early	100002928	3061	290.1387	442997	519-09-5	C10847	HMDB41836
CPD000181	beta-alanine	4103	Nucleotide	Pyrimidine Metabolism, Uracil containing	55	LC/MS Pos Early	244	1905	90.055	239	56-41-7;107-95-9	C00099	HMDB00056
CPD000182	beta-guanidinopropanoate	4639	Xenobiotics	Food Component/Plant	35101	LC/MS Pos Early	100001411	2145	132.0768	67701	353-09-3	C03065	HMDB13222
CPD000183	betaine	6	Amino Acid	Glycine, Serine and Threonine Metabolism	3141	LC/MS Pos Early	799	1064	118.0863	247	107-43-7	C00719	HMDB00043
CPD000184	butyrylcarnitine (C4)	1699	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	32412	LC/MS Pos Early	100001054	2860	232.1543	439829	25576-40-3	C02862	HMDB02013
CPD000185	caffeine	4430	Xenobiotics	Xanthine Metabolism	569	LC/MS Pos Early	849	2106	195.0877	2519	58-08-2	C07481	HMDB01847
CPD000186	carboxyethyl-GABA	56	Amino Acid	Glutamate Metabolism	40007	LC/MS Pos Early	100003260	2085	176.0917	2572	908055		HMDB02201
CPD000187	carnitine	1850	Lipid	Carnitine Metabolism	15500	LC/MS Pos Early	100000007	1978	162.1125	10917	461-05-2	C00318	HMDB00062
CPD000188	carnosine	79	Amino Acid	Histidine Metabolism	1768	LC/MS Pos Early	249	2942	227.1139	439224	305-84-0	C00386	HMDB00033
CPD000189	cephalexin	5210	Xenobiotics	Drug - Antibiotic	57704	LC/MS Pos Early	100015899	3063	348.1013	27447;6560168	15686-71-2	D00263,C06895	HMDB14707
CPD000190	choline	2136	Lipid	Phospholipid Metabolism	15506	LC/MS Pos Early	1256	1961	104.107	305	67-48-1	C00114	HMDB00097
CPD000191	phosphocholine	2137	Lipid	Phospholipid Metabolism	34396	LC/MS Pos Early	267	700	184.0733	1014	72556-74-2	C00588	HMDB01565
CPD000192	cimetidine	5432	Xenobiotics	Drug - Gastrointestil	42592	LC/MS Pos Early	100004011	2715	253.123		51481-61-9		
CPD000193	citrulline	448	Amino Acid	Urea cycle; Arginine and Proline Metabolism	2132	LC/MS Pos Early	391	1520	176.103	9750	372-75-8	C00327	HMDB00904
CPD000194	cotinine	4450	Xenobiotics	Tobacco Metabolite	553	LC/MS Pos Early	848	2213	177.1022	854019	486-56-6		HMDB01046
CPD000195	creatine	483	Amino Acid	Creatine Metabolism	27718	LC/MS Pos Early	1221	1947	132.0768	586	57-00-1	C00300	HMDB00064
CPD000196	creatinine	484	Amino Acid	Creatine Metabolism	513	LC/MS Pos Early	275	2055	114.0662	588	60-27-5	C00791	HMDB00562
CPD000197	cyclo(gly-pro)	695	Peptide	Dipeptide	37077	LC/MS Pos Early	100001946	1349	155.0815	126154	3705-27-9		
CPD000198	cys-gly, oxidized	533	Amino Acid	Glutathione Metabolism	18368	LC/MS Pos Early	1224	2947	355.0741	333293	7729-20-6		
CPD000199	cystathionine	409	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	15705	LC/MS Pos Early	310	2270	223.0747	439258	535-34-2	C02291	HMDB00099
CPD000200	cysteine	411	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	1868	LC/MS Pos Early	800	1475	122.027	5862	52-90-4;56-89-3	C00097	HMDB00574
CPD000201	cysteine s-sulfate	417	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	22176	LC/MS Pos Early	100000808	565	201.9838	115015	1637-71-4	C05824	HMDB00731
CPD000202	cysteine sulfinic acid	424	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	37443	LC/MS Pos Early	100002113	597	154.0169	109	207121-48-0	C00606	HMDB00996
CPD000203	cysteine-glutathione disulfide	528	Amino Acid	Glutathione Metabolism	35159	LC/MS Pos Early	100001437	2465	427.0952	4247235	13081-14-6		HMDB00656
CPD000204	cysteinylglycine	531	Amino Acid	Glutathione Metabolism	35637	LC/MS Pos Early	278	2132	179.0485	439498	19246-18-5	C01419	HMDB00078
CPD000205	cysteinylglycine disulfide*	532	Amino Acid	Glutathione Metabolism	62103	LC/MS Pos Early	100002466	2547	298.0526		70555-24-7		HMDB00709
CPD000206	cystine	418	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	56	LC/MS Pos Early	279	2000	241.0311	67678	56-89-3	C00491	HMDB00192
CPD000207	cytidine	4114	Nucleotide	Pyrimidine Metabolism, Cytidine containing	514	LC/MS Pos Early	827	2124	244.0928	6175	65-46-3	C00475	HMDB00089
CPD000208	cytosine	4115	Nucleotide	Pyrimidine Metabolism, Cytidine containing	573	LC/MS Pos Early	881	2060	112.0505	597	71-30-7	C00380	HMDB00630
CPD000209	deoxycarnitine	1849	Lipid	Carnitine Metabolism	36747	LC/MS Pos Early	100001662	2052	146.1176	134	6249-56-5	C01181	HMDB01161
CPD000210	dimethyl sulfone	5780	Xenobiotics	Chemical	43424	LC/MS Pos Early	100004284	832	95.0161	6213	67-71-0	C11142	HMDB04983
CPD000211	dimethylarginine (ADMA + SDMA)	454	Amino Acid	Urea cycle; Arginine and Proline Metabolism	36808	LC/MS Pos Early	100001810	2850	203.1503	123831	102783-24-4	C03626	HMDB01539
CPD000212	dimethylglycine	5	Amino Acid	Glycine, Serine and Threonine Metabolism	5086	LC/MS Pos Early	806	1104	104.0706	673	1118-68-9	C01026	HMDB00092
CPD000213	doxylamine	5593	Xenobiotics	Drug - Respiratory	43024	LC/MS Pos Early	100003965	3299	271.1805	3162	562-10-7		HMDB01936
CPD000214	ectoine	5782	Xenobiotics	Chemical	35651	LC/MS Pos Early	100001635	1980	143.0815	126041	96702-03-3	C06231	
CPD000215	ergothioneine	4703	Xenobiotics	Food Component/Plant	37459	LC/MS Pos Early	100002154	850	230.0958	3032311	58511-63-0	C05570	HMDB03045
CPD000216	formiminoglutamate	77	Amino Acid	Histidine Metabolism	43493	LC/MS Pos Early	100002500	1880	175.0713	439233	816-90-0	C00439	HMDB00854
CPD000217	fructosyllysine	115	Amino Acid	Lysine Metabolism	46227	LC/MS Pos Early	100005373	2784	309.1656	123708	21291-40-7		
CPD000218	gamma-carboxyglutamate	50	Amino Acid	Glutamate Metabolism	38754	LC/MS Pos Early	100002679	903	192.0503	40772	56271-99-9		HMDB41900
CPD000219	gamma-glutamyl-2-aminobutyrate	604	Peptide	Gamma-glutamyl Amino Acid	37092	LC/MS Pos Early	100001502	2380	233.1132		16869-42-4		
CPD000220	gamma-glutamyl-alpha-lysine	594	Peptide	Gamma-glutamyl Amino Acid	55015	LC/MS Pos Early	100010901	2784	276.1554	65254			
CPD000221	gamma-glutamyl-epsilon-lysine	595	Peptide	Gamma-glutamyl Amino Acid	33934	LC/MS Pos Early	100001262	2725	276.1554	7015685	17105-15-6		HMDB03869
CPD000222	gamma-glutamylalanine	586	Peptide	Gamma-glutamyl Amino Acid	37063	LC/MS Pos Early	100001843	1986	219.0976	440103	5875-41-2		HMDB29142
CPD000223	gamma-glutamylcitrulline*	603	Peptide	Gamma-glutamyl Amino Acid	62104	LC/MS Pos Early	100020241	1644	305.1456				
CPD000224	gamma-glutamylglutamate	588	Peptide	Gamma-glutamyl Amino Acid	36738	LC/MS Pos Early	331	1775	277.103	92865	1116-22-9	C05282	HMDB11737
CPD000225	gamma-glutamylglutamine	589	Peptide	Gamma-glutamyl Amino Acid	2730	LC/MS Pos Early	1140	1430	276.119	150914	10148-81-9	C05283	HMDB11738
CPD000226	gamma-glutamylglycine	590	Peptide	Gamma-glutamyl Amino Acid	33949	LC/MS Pos Early	100001294	1535	205.0819	165527	1948-29-4		HMDB11667
CPD000227	gamma-glutamylhistidine	591	Peptide	Gamma-glutamyl Amino Acid	18245	LC/MS Pos Early	1235	2740	285.1194	7017195	37460-15-4		
CPD000228	gamma-glutamylisoleucine*	592	Peptide	Gamma-glutamyl Amino Acid	34456	LC/MS Pos Early	100001485	2940	261.1445	14253342			HMDB11170
CPD000229	gamma-glutamylleucine	593	Peptide	Gamma-glutamyl Amino Acid	18369	LC/MS Pos Early	1268	2991	261.1445	151023	2566-39-4		HMDB11171
CPD000230	gamma-glutamylmethionine	596	Peptide	Gamma-glutamyl Amino Acid	44872	LC/MS Pos Early	100001313	2640	279.1009	7009567	17663-87-5		HMDB29155
CPD000231	gamma-glutamylphenylalanine	597	Peptide	Gamma-glutamyl Amino Acid	33422	LC/MS Pos Early	100000491	2992	295.1289	111299	7432-24-8		HMDB00594
CPD000232	gamma-glutamylthreonine	598	Peptide	Gamma-glutamyl Amino Acid	33364	LC/MS Pos Early	100001314	1750	249.1081	76078708	5652-48-2		HMDB29159
CPD000233	gamma-glutamylvaline	601	Peptide	Gamma-glutamyl Amino Acid	43829	LC/MS Pos Early	100001126	2700	247.1289	7015683	2746-34-1		HMDB11172
CPD000234	glutamate	42	Amino Acid	Glutamate Metabolism	57	LC/MS Pos Early	561	1500	148.0604	611	56-86-0	C00025	HMDB00148
CPD000235	glutamine	43	Amino Acid	Glutamate Metabolism	53	LC/MS Pos Early	563	1291	147.0764	5961	56-85-9	C00064	HMDB00641
CPD000236	glutamine conjugate of C6H10O2 (1)*	5957	Partially Characterized Molecules	Partially Characterized Molecules	63657	LC/MS Pos Early	100020261	2262	243.1339				
CPD000237	glutarylcarnitine (C5-DC)	121	Amino Acid	Lysine Metabolism	44664	LC/MS Pos Early	100001593	2393	276.1442	71464488	102636-82-8		HMDB13130
CPD000238	glycerol 3-phosphate	2733	Lipid	Glycerolipid Metabolism	43847	LC/MS Pos Early	100000258	580	173.021	754	29849-82-9	C00093	HMDB00126
CPD000239	glycerophosphoethanolamine	2144	Lipid	Phospholipid Metabolism	37455	LC/MS Pos Early	100001620	659	216.0632	123874	33049-08-0	C01233	HMDB00114
CPD000240	glycerophosphorylcholine (GPC)	2140	Lipid	Phospholipid Metabolism	15990	LC/MS Pos Early	100000269	672	258.1101	71920	28319-77-9	C00670	HMDB00086
CPD000241	glycine	1	Amino Acid	Glycine, Serine and Threonine Metabolism	58	LC/MS Pos Early	340	1375	76.0393	750	56-40-6	C00037	HMDB00123
CPD000242	guanidinoacetate	482	Amino Acid	Creatine Metabolism	43802	LC/MS Pos Early	344	1937	118.0611	763	352-97-6	C00581	HMDB00128
CPD000243	hexanoylcarnitine (C6)	1770	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	32328	LC/MS Pos Early	100000781	3358	260.1856	6426853	6920-35-0		HMDB00705
CPD000244	homoarginine	449	Amino Acid	Urea cycle; Arginine and Proline Metabolism	22137	LC/MS Pos Early	100000961	2882	189.1346	9085	156-86-5	C01924	HMDB00670
CPD000245	homostachydrine*	4743	Xenobiotics	Food Component/Plant	33009	LC/MS Pos Early	100001550	1750	158.1176	441447	1195-94-4	C08283	HMDB33433
CPD000246	hydroxy-N6,N6,N6-trimethyllysine*	112	Amino Acid	Lysine Metabolism	62959	LC/MS Pos Early	100021123	2759	205.1547				
CPD000247	hydroxyasparagine	41	Amino Acid	Alanine and Aspartate Metabolism	62060	LC/MS Pos Early	100020205	1149	149.0557	97663		C03124	HMDB32332
CPD000248	hydroxybupropion	5538	Xenobiotics	Drug - Psychoactive	32882	LC/MS Pos Early	100001309	3479	256.1099	446			HMDB12235
CPD000249	hydroxycotinine	4451	Xenobiotics	Tobacco Metabolite	38661	LC/MS Pos Early	100002717	2030	193.0972	10219774	34834-67-8		HMDB01390
CPD000250	hypoxanthine	3986	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	3127	LC/MS Pos Early	171	1295	137.0458	790	68-94-0	C00262	HMDB00157
CPD000251	imidazole lactate	78	Amino Acid	Histidine Metabolism	15716	LC/MS Pos Early	100000263	2040	157.0608	793	14403-45-3	C05568	HMDB02320
CPD000252	imidazole propiote	76	Amino Acid	Histidine Metabolism	40730	LC/MS Pos Early	100003434	2263	141.0659	70630	1074-59-5		HMDB02271
CPD000253	iminodiacetate (IDA)	5792	Xenobiotics	Chemical	21025	LC/MS Pos Early	100000900	830	134.0448	8897	142-73-4	C19911	HMDB11753
CPD000254	indoleacetoylcarnitine*	291	Amino Acid	Tryptophan Metabolism	62279	LC/MS Pos Early	100020479	3114	319.1652				
CPD000255	indolin-2-one	4747	Xenobiotics	Food Component/Plant	43374	LC/MS Pos Early	100004318	2575	134.06	321710	59-48-3	C12312	
CPD000256	isobutyrylcarnitine (C4)	382	Amino Acid	Leucine, Isoleucine and Valine Metabolism	33441	LC/MS Pos Early	100001055	2810	232.1543	168379	25518-49-4		HMDB00736
CPD000257	isoleucine	348	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1125	LC/MS Pos Early	376	2800	132.1019	6306	73-32-5	C00407	HMDB00172
CPD000258	isovalerylcarnitine (C5)	319	Amino Acid	Leucine, Isoleucine and Valine Metabolism	34407	LC/MS Pos Early	100001393	3085	246.17	6426851	31023-24-2		HMDB00688
CPD000259	ketopioglitazone	5457	Xenobiotics	Drug - Metabolic	43579	LC/MS Pos Early	100004176	3335	371.106		146062-45-5		
CPD000260	kynurenine	253	Amino Acid	Tryptophan Metabolism	15140	LC/MS Pos Early	100000265	2739	209.0921	161166	2922-83-0	C00328	HMDB00684
CPD000261	lamivudine	5301	Xenobiotics	Drug - Antiviral	63284	LC/MS Pos Early	100020918	2586	230.0594	60825	134678-17-4	D00353	HMDB14847
CPD000262	lanthionine	422	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	42002	LC/MS Pos Early	100003892	1730	209.0591	98504	468821		
CPD000263	leucine	301	Amino Acid	Leucine, Isoleucine and Valine Metabolism	60	LC/MS Pos Early	397	2864	132.1019	6106	61-90-5		
CPD000264	leucylglycine	821	Peptide	Dipeptide	40045	LC/MS Pos Early	100003185	2778	189.1234	79070	686-50-0		HMDB28929
CPD000265	levulinoylcarnitine	4572	Xenobiotics	Food Component/Plant	63359	LC/MS Pos Early	100021140	2520	260.1493				
CPD000266	lidocaine	5170	Xenobiotics	Drug - Algesics, Anesthetics	35661	LC/MS Pos Early	100001538	3250	235.1805	3676	137-58-6	D00358	HMDB14426
CPD000267	lysine	100	Amino Acid	Lysine Metabolism	1301	LC/MS Pos Early	407	2850	147.1128	5962	56-87-1	C00047	HMDB00182
CPD000268	malonylcarnitine	1403	Lipid	Fatty Acid Synthesis	37059	LC/MS Pos Early	100001526	2086	248.1129	22833583	853728-01-5		HMDB02095
CPD000269	meglumine	5794	Xenobiotics	Chemical	42638	LC/MS Pos Early	100004440	1838	196.118	4049	6284-40-8		
CPD000270	metformin	5441	Xenobiotics	Drug - Metabolic	38306	LC/MS Pos Early	100002405	2817	130.1087	4091	1115-70-4	C07151	HMDB01921
CPD000271	methionine	390	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	1302	LC/MS Pos Early	415	2526	150.0583	6137	63-68-3	C00073	HMDB00696
CPD000272	methionine sulfone	395	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	44878	LC/MS Pos Early	100004635	1250	182.0482	69961	820-10-0		
CPD000273	methionine sulfoxide	396	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	18374	LC/MS Pos Early	100000039	1272	166.0533	158980	3226-65-1	C02989	HMDB02005
CPD000274	methyl indole-3-acetate	4771	Xenobiotics	Food Component/Plant	1584	LC/MS Pos Early	1104	3380	190.0863	74706	1912-33-0		HMDB29738
CPD000275	methylsuccinoylcarnitine	368	Amino Acid	Leucine, Isoleucine and Valine Metabolism	53031	LC/MS Pos Early	100009275	2589	276.1442				
CPD000276	methylurea	442	Amino Acid	Urea cycle; Arginine and Proline Metabolism	34378	LC/MS Pos Early	100001401	807	75.0553	11719	598-50-5	C16363	
CPD000277	metoprolol acid metabolite*	5355	Xenobiotics	Drug - Cardiovascular	34109	LC/MS Pos Early	100001385	2950	268.1543	62936	56392-14-4		
CPD000278	minocyclin	5234	Xenobiotics	Drug - Antibiotic	64109	LC/MS Pos Early	100020870	3318	458.1922		10118-90-8	D05045,C07225	HMDB15152
CPD000279	N,N,N-trimethyl-5-aminovalerate	132	Amino Acid	Lysine Metabolism	57687	LC/MS Pos Early	100015962	2186	160.1332	14274897			
CPD000280	N,N,N-trimethyl-alanylproline betaine (TMAP)	474	Amino Acid	Urea cycle; Arginine and Proline Metabolism	62947	LC/MS Pos Early	100020217	2470	229.1547				
CPD000281	N,N-dimethyl-5-aminovalerate	131	Amino Acid	Lysine Metabolism	62819	LC/MS Pos Early	100020842	2290	146.1176				
CPD000282	N,N-dimethylalanine	32	Amino Acid	Alanine and Aspartate Metabolism	63151	LC/MS Pos Early	100020371	1370	118.0863	5488191	2812-31-9		
CPD000283	N-acetyl-1-methylhistidine*	72	Amino Acid	Histidine Metabolism	43255	LC/MS Pos Early	100004299	2100	212.1028	53859791			
CPD000284	N-acetyl-aspartyl-glutamate (AG)	53	Amino Acid	Glutamate Metabolism	35665	LC/MS Pos Early	100001612	1035	305.098	5255	3106-85-2	C12270	HMDB01067
CPD000285	N-acetyl-isoputreanine	499	Amino Acid	Polyamine Metabolism	62309	LC/MS Pos Early	100020487	2305	203.139	131802901			
CPD000286	N-acetylarginine	455	Amino Acid	Urea cycle; Arginine and Proline Metabolism	33953	LC/MS Pos Early	100001266	2245	217.1295	67427	155-84-0	C02562	HMDB04620
CPD000287	N-acetylglucosamine/N-acetylgalactosamine	1368	Carbohydrate	Aminosugar Metabolism	46539	LC/MS Pos Early	100006435	715	222.0972				
CPD000288	N-acetylglucosaminylasparagine	1365	Carbohydrate	Aminosugar Metabolism	48149	LC/MS Pos Early	1215	1212	336.1402	123826	2776-93-4	C04540	HMDB00489
CPD000289	N-acetylglycine	2	Amino Acid	Glycine, Serine and Threonine Metabolism	27710	LC/MS Pos Early	100001006	826	118.0499	10972	543-24-8		HMDB00532
CPD000290	N-acetylhistidine	70	Amino Acid	Histidine Metabolism	33946	LC/MS Pos Early	100001293	2065	198.0873	75619	39145-52-3	C02997	HMDB32055
CPD000291	N-acetylisoleucine	350	Amino Acid	Leucine, Isoleucine and Valine Metabolism	33967	LC/MS Pos Early	100001276	2600	174.1125	306109	3077-46-1		HMDB61684
CPD000292	N-acetylneuramite	1354	Carbohydrate	Aminosugar Metabolism	32377	LC/MS Pos Early	1162	660	310.1133	439197	131-48-6	C00270	HMDB00230
CPD000293	N-acetylproline	461	Amino Acid	Urea cycle; Arginine and Proline Metabolism	34387	LC/MS Pos Early	100001334	1695	158.0812	322640	1074-79-9		
CPD000294	N-acetylputrescine	493	Amino Acid	Polyamine Metabolism	37496	LC/MS Pos Early	192	2230	131.1179	122356	18233-70-0	C02714	HMDB02064
CPD000295	N-acetyltheanine	4881	Xenobiotics	Food Component/Plant	62711	LC/MS Pos Early	100020514	1483	217.1183				
CPD000296	N-alpha-acetylornithine	464	Amino Acid	Urea cycle; Arginine and Proline Metabolism	32984	LC/MS Pos Early	100000285	2000	175.1077	439232	1572591	C00437	HMDB03357
CPD000297	N-carbamoylalanine	34	Amino Acid	Alanine and Aspartate Metabolism	52340	LC/MS Pos Early	100006369	950	133.0608	426409	77340-50-2		
CPD000298	N-ethylglycinexylidide	5171	Xenobiotics	Drug - Algesics, Anesthetics	33080	LC/MS Pos Early	100001539	3209	207.1492	24415	7728-40-7	C16561	HMDB60656
CPD000299	N-methylhydroxyproline	467	Amino Acid	Urea cycle; Arginine and Proline Metabolism	62068	LC/MS Pos Early	100020215	1145	146.0812	9860390			
CPD000300	N-methylpipecolate	5090	Xenobiotics	Bacterial/Fungal	47101	LC/MS Pos Early	100005383	1932	144.1019	11286529	41447-17-0		
CPD000301	N-methylproline	473	Amino Acid	Urea cycle; Arginine and Proline Metabolism	37431	LC/MS Pos Early	100001956	1335	130.0863	557	475-11-6		
CPD000302	1-methyladenosine	4018	Nucleotide	Purine Metabolism, Adenine containing	15650	LC/MS Pos Early	1242	2120	282.1197	27476	15763-06-1	C02494	HMDB03331
CPD000303	N1-methylinosine	3992	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	48351	LC/MS Pos Early	100001409	1430	283.1037	65095	20245-33-4		HMDB02721
CPD000304	N2,N2-dimethylguanosine	4057	Nucleotide	Purine Metabolism, Guanine containing	35137	LC/MS Pos Early	100001412	2210	312.1303	92919	2140-67-2		HMDB04824
CPD000305	N2-acetyl,N6,N6-dimethyllysine	105	Amino Acid	Lysine Metabolism	63254	LC/MS Pos Early	100020545	2172	217.1547				
CPD000306	N2-acetyl,N6-methyllysine	104	Amino Acid	Lysine Metabolism	62954	LC/MS Pos Early	100020546	2168	203.139				
CPD000307	N6,N6,N6-trimethyllysine	111	Amino Acid	Lysine Metabolism	1498	LC/MS Pos Early	189	2825	189.1598	440120	23284-33-5	C03793	HMDB01325
CPD000308	N6,N6-dimethyllysine	110	Amino Acid	Lysine Metabolism	62862	LC/MS Pos Early	100020417	2831	175.1441	193344	2259-86-1	C05545	HMDB13287
CPD000309	N6-carboxymethyllysine	1370	Carbohydrate	Advanced Glycation End-product	36713	LC/MS Pos Early	100001768	2500	205.1183	123800	1404817		
CPD000310	N6-methyllysine	109	Amino Acid	Lysine Metabolism	62860	LC/MS Pos Early	100003415	2831	161.1285	164795	1188-07-4	C02728	HMDB02038
CPD000311	nicotimide	4162	Cofactors and Vitamins	Nicotite and Nicotimide Metabolism	594	LC/MS Pos Early	432	1942	123.0553	936	98-92-0	C00153	HMDB01406
CPD000312	nicotimide N-oxide	4173	Cofactors and Vitamins	Nicotite and Nicotimide Metabolism	39582	LC/MS Pos Early	100002763	877	139.0502	72661	1986-81-8		HMDB02730
CPD000313	nicotite	4159	Cofactors and Vitamins	Nicotite and Nicotimide Metabolism	1504	LC/MS Pos Early	567	1673	124.0393	938	59-67-6	C00253	HMDB01488
CPD000314	nicotite ribonucleoside	4160	Cofactors and Vitamins	Nicotite and Nicotimide Metabolism	33471	LC/MS Pos Early	100001316	1536	256.0816	161234	2625-49-2	C05841	HMDB06809
CPD000315	nicotinurate	4181	Cofactors and Vitamins	Nicotite and Nicotimide Metabolism	35121	LC/MS Pos Early	100001455	2040	181.0608	68499	583-08-4	C05380	HMDB03269
CPD000316	norcotinine	4459	Xenobiotics	Tobacco Metabolite	57782	LC/MS Pos Early	100002715	2156	163.0866	413	17114-40-8		HMDB01297
CPD000317	O-desmethyltramadol	5184	Xenobiotics	Drug - Algesics, Anesthetics	53239	LC/MS Pos Early	100006382	3045	250.1802	130829	73986-53-5		HMDB60997
CPD000318	O-desmethyltramadol glucuronide	5185	Xenobiotics	Drug - Algesics, Anesthetics	52357	LC/MS Pos Early	100006383	2741	426.2123		383891-39-2		
CPD000319	O-desmethylvenlafaxine	5541	Xenobiotics	Drug - Psychoactive	43334	LC/MS Pos Early	100004173	3253	264.1958	125017	300827-87-6	D07793	HMDB60532
CPD000320	ofloxacin	5221	Xenobiotics	Drug - Antibiotic	21320	LC/MS Pos Early	100000673	3007	362.1511	4583	82419-36-1	C07321	HMDB01929
CPD000321	ornithine	443	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1493	LC/MS Pos Early	444	2800	133.0972	6262	3184-13-2	C00077	HMDB03374
CPD000322	phenylacetylcarnitine	1126	Peptide	Acetylated Peptides	48425	LC/MS Pos Early	100006108	3092	280.1543	101724840	287108-21-8		
CPD000323	phenylacetylglutamine	1129	Peptide	Acetylated Peptides	35126	LC/MS Pos Early	100001417	2145	265.1183	92258	28047-15-6	C04148	HMDB06344
CPD000324	phenylalanine	134	Amino Acid	Phenylalanine Metabolism	64	LC/MS Pos Early	460	2878	166.0863	6140	63-91-2	C00079	HMDB00159
CPD000325	phosphate	1401	Energy	Oxidative Phosphorylation	42109	LC/MS Pos Early	461	576	98.9842	1061	7664-38-2	C00009	HMDB01429
CPD000326	phosphoethanolamine (PE)	2142	Lipid	Phospholipid Metabolism	1600	LC/MS Pos Early	1026	700	142.0264	1015	1071-23-4	C00346	HMDB00224
CPD000327	picolite	267	Amino Acid	Tryptophan Metabolism	1512	LC/MS Pos Early	1022	910	124.0393	1018	98-98-6	C10164	HMDB02243
CPD000328	pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	1832	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)	53224	LC/MS Pos Early	100009407	2773	304.1755				
CPD000329	pioglitazone	5456	Xenobiotics	Drug - Metabolic	33139	LC/MS Pos Early	100001317	3240	357.1267	4829	112529-15-4	C07675	HMDB15264
CPD000330	pipecolate	125	Amino Acid	Lysine Metabolism	1444	LC/MS Pos Early	1025	2200	130.0863	849	4043-87-2	C00408	HMDB00070
CPD000331	pregabalin	5524	Xenobiotics	Drug - Neurological	52913	LC/MS Pos Early	100008943	3123	160.1332	4715169	148553-50-8		
CPD000332	prolylhydroxyproline	470	Amino Acid	Urea cycle; Arginine and Proline Metabolism	35127	LC/MS Pos Early	100001167	2128	229.1183	11673055	18684-24-7		HMDB06695
CPD000333	proline	451	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1898	LC/MS Pos Early	480	1603	116.0706	145742	147-85-3	C00148	HMDB00162
CPD000334	prolylglycine	896	Peptide	Dipeptide	40703	LC/MS Pos Early	100003674	2136	173.0921	6426709	2578-57-6		HMDB11178
CPD000335	propionylcarnitine (C3)	1702	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	32452	LC/MS Pos Early	100001162	2590	218.1387	107738	17298-37-2	C03017	HMDB00824
CPD000336	pyroglutamine*	52	Amino Acid	Glutamate Metabolism	46225	LC/MS Pos Early	100001540	1900	129.0659		2353-44-8		
CPD000337	quinine	5258	Xenobiotics	Drug - Antibiotic	39767	LC/MS Pos Early	100002968	3378	325.1911	2728270	130-95-0		
CPD000338	quinolite	4158	Cofactors and Vitamins	Nicotite and Nicotimide Metabolism	1899	LC/MS Pos Early	182	845	168.0291	1066	89-00-9	C03722	HMDB00232
